日期,上座率,场均人次,票房占比,电影ID,电影名字,已上映天数,排片场次,排片占比,当日票房,当日总出票,当日总场次
519,6.7%,8.4,19.5%,1446323,末路狂花钱,上映19天,55882,12.9%,1897.06,239.6万,43.2万
519,6.1%,8.2,15.9%,78645,九龙城寨之围城,上映19天,45147,10.4%,1547.08,239.6万,43.2万
519,5.7%,9.4,14.2%,1309779,猩球崛起：新世界,上映10天,35438,8.2%,1379.25,239.6万,43.2万
519,3.6%,4.3,12.1%,1491249,错过你的那些年,上映首日,72221,16.7%,1181.48,239.6万,43.2万
519,3.2%,4.3,12.1%,1334237,彷徨之刃,上映3天,65854,15.2%,1177.16,239.6万,43.2万
519,4.7%,4.7,3.6%,1413549,维和防暴队,上映19天,18278,4.2%,354.02,239.6万,43.2万
519,6.3%,6.4,3.5%,1488646,间谍过家家 代号：白,上映20天,13891,3.2%,341.12,239.6万,43.2万
519,6.2%,6.2,3.0%,1495758,猪猪侠大电影·星际行动,上映19天,12741,2.9%,292.10,239.6万,43.2万
519,2.3%,2.4,2.8%,1405602,朝云暮雨,上映3天,27623,6.3%,274.43,239.6万,43.2万
519,1.8%,2.0,2.4%,1461557,今夜，就算这份爱恋从世界上消失,上映2天,31491,7.2%,237.63,239.6万,43.2万
519,7.4%,7.6,2.4%,225980,哈尔的移动城堡,上映20天,7913,1.8%,236.91,239.6万,43.2万
519,2.4%,3.6,1.3%,1374577,特技狂人,上映3天,7551,1.7%,129.85,239.6万,43.2万
519,66.3%,102.8,0.8%,1489930,阿莫阿依,上映65天,160,<0.1%,87.25,239.6万,43.2万
519,6.9%,6.8,0.8%,475180,功夫熊猫4,上映59天,3194,0.7%,84.69,239.6万,43.2万
519,6.8%,6.5,0.6%,1500234,熊出没·逆转时空,上映100天,2392,0.5%,60.40,239.6万,43.2万
519,5.9%,6.1,0.5%,1470629,哥斯拉大战金刚2：帝国崛起,上映52天,2322,0.5%,56.40,239.6万,43.2万
519,1.4%,1.4,0.4%,1466394,四月女友,上映2天,7271,1.6%,41.11,239.6万,43.2万
519,78.2%,93.9,0.4%,1511969,周立波回清溪,上映5天,103,<0.1%,39.97,239.6万,43.2万
519,2.5%,2.4,0.3%,1518388,替身纸人2,上映2天,3150,0.7%,35.29,239.6万,43.2万
519,33.9%,23.6,0.3%,1461216,红色冲浪板,上映3天,338,<0.1%,32.84,239.6万,43.2万
519,60.2%,59.6,0.3%,1478828,你是我的英雄,零点场,117,<0.1%,32.80,239.6万,43.2万
519,73.2%,144.9,0.3%,1352371,雪域少年,,41,<0.1%,29.70,239.6万,43.2万
519,0.7%,0.7,0.2%,1490986,你就在我身边,上映3天,11404,2.6%,28.80,239.6万,43.2万
519,6.1%,5.8,0.2%,1198578,你想活出怎样的人生,上映47天,1094,0.2%,24.42,239.6万,43.2万
519,34.7%,42.1,0.1%,1437173,绝地重生,上映67天,68,<0.1%,14.74,239.6万,43.2万
519,2.4%,1.9,<0.1%,1489942,穿过月亮的旅行,上映19天,1243,0.2%,9.22,239.6万,43.2万
519,2.6%,2.8,<0.1%,1396308,魔幻奇缘之宝石公主,,967,0.2%,8.70,239.6万,43.2万
519,12.1%,11.6,<0.1%,1431973,朱同在三年级丢失了超能力,点映,107,<0.1%,5.61,239.6万,43.2万
519,--,184.8,<0.1%,1282399,苍穹,展映,5,<0.1%,3.69,239.6万,43.2万
519,--,29.4,<0.1%,1417411,暴风,,33,<0.1%,3.47,239.6万,43.2万
519,1.3%,1.8,<0.1%,1427828,不能错过的只有你,,506,0.1%,3.41,239.6万,43.2万
519,58.3%,74.9,<0.1%,1515431,寻秘自然：地球往事,,11,<0.1%,3.03,239.6万,43.2万
519,--,860.0,<0.1%,248172,复仇者联盟4：终局之战,,1,<0.1%,2.58,239.6万,43.2万
519,7.2%,100.0,<0.1%,1458881,陨石江湖：天降20亿,上映38天,10,<0.1%,2.50,239.6万,43.2万
519,3.1%,6.9,<0.1%,1413629,泪光中的妈妈,上映9天,135,<0.1%,2.37,239.6万,43.2万
519,55.4%,117.7,<0.1%,41836,寻找智美更登,,3,<0.1%,2.23,239.6万,43.2万
519,66.5%,87.9,<0.1%,1512418,美好人间,,8,<0.1%,2.17,239.6万,43.2万
519,7.9%,16.6,<0.1%,1419044,屋顶足球,上映30天,42,<0.1%,2.14,239.6万,43.2万
519,4.6%,5.1,<0.1%,1441786,沙丘2,上映73天,62,<0.1%,1.84,239.6万,43.2万
519,11.5%,67.8,<0.1%,1414027,八百矿工上井冈,,9,<0.1%,1.82,239.6万,43.2万
519,--,423.0,<0.1%,1526140,父亲在远方,零点场,1,<0.1%,1.69,239.6万,43.2万
519,10.1%,14.2,<0.1%,1356011,再见土拨鼠,上映31天,38,<0.1%,1.69,239.6万,43.2万
519,20.2%,47.6,<0.1%,1427883,因你而动,上映73天,13,<0.1%,1.54,239.6万,43.2万
519,93.0%,88.2,<0.1%,1464381,再会长江,点映,5,<0.1%,1.51,239.6万,43.2万
519,4.9%,4.3,<0.1%,1310520,年少日记,上映31天,79,<0.1%,1.30,239.6万,43.2万
519,7.3%,5.4,<0.1%,1448919,坠落的审判,上映52天,48,<0.1%,1.18,239.6万,43.2万
519,74.4%,253.0,<0.1%,1516739,北极荒原,展映,1,<0.1%,1.08,239.6万,43.2万
519,42.5%,40.6,<0.1%,1398070,我不是天才,上映9天,12,<0.1%,1.05,239.6万,43.2万
519,1.2%,1.0,<0.1%,1434993,云雾女孩,上映3天,447,0.1%,1.00,239.6万,43.2万
519,--,31.6,<0.1%,1351778,爱在陇南,上映32天,9,<0.1%,0.94,239.6万,43.2万
519,--,4.9,<0.1%,1413665,云淡风轻,上映24天,48,<0.1%,0.91,239.6万,43.2万
519,65.3%,86.7,<0.1%,1366363,烟火人间,,3,<0.1%,0.88,239.6万,43.2万
519,0.1%,0.2,<0.1%,1491251,一路向南,上映3天,1239,0.2%,0.76,239.6万,43.2万
519,38.5%,58.0,<0.1%,246170,五彩神箭,,2,<0.1%,0.75,239.6万,43.2万
519,35.9%,123.0,<0.1%,1230152,撞死了一只羊,,1,<0.1%,0.70,239.6万,43.2万
519,6.9%,5.5,<0.1%,1522256,我要当老师,上映32天,30,<0.1%,0.68,239.6万,43.2万
519,10.3%,46.8,<0.1%,1522020,幸福慢车,上映41天,4,<0.1%,0.65,239.6万,43.2万
519,3.6%,2.8,<0.1%,1462637,雪豹,上映47天,60,<0.1%,0.64,239.6万,43.2万
519,40.2%,136.0,<0.1%,1221853,探寻外太空生命,展映,1,<0.1%,0.58,239.6万,43.2万
519,39.4%,130.0,<0.1%,531370,加拉帕戈斯：自然的仙境,展映,1,<0.1%,0.55,239.6万,43.2万
519,4.1%,6.6,<0.1%,1339006,妈妈和七天的时间,上映12天,30,<0.1%,0.52,239.6万,43.2万
519,2.6%,2.2,<0.1%,1487151,我们一起摇太阳,上映51天,56,<0.1%,0.49,239.6万,43.2万
519,17.6%,15.6,<0.1%,1374909,乘船而去,上映38天,9,<0.1%,0.48,239.6万,43.2万
519,--,24.8,<0.1%,672203,超级的我,,8,<0.1%,0.42,239.6万,43.2万
519,4.6%,3.8,<0.1%,1488960,周处除三害,上映80天,27,<0.1%,0.39,239.6万,43.2万
519,--,74.5,<0.1%,1461197,带彩球的帐篷,点映,2,<0.1%,0.37,239.6万,43.2万
519,83.3%,86.0,<0.1%,229,女王,,1,<0.1%,0.35,239.6万,43.2万
519,1.4%,1.5,<0.1%,1250661,消失的木偶,上映31天,76,<0.1%,0.33,239.6万,43.2万
519,41.8%,49.0,<0.1%,5664,功夫皇帝方世玉,展映,1,<0.1%,0.33,239.6万,43.2万
519,1.1%,0.7,<0.1%,1489410,没有一顿火锅解决不了的事,上映19天,112,<0.1%,0.32,239.6万,43.2万
519,1.0%,1.1,<0.1%,1487901,冰雪女王5：融冰之战,上映46天,84,<0.1%,0.31,239.6万,43.2万
519,49.1%,26.0,<0.1%,1515447,寻秘自然：无形之力,,3,<0.1%,0.31,239.6万,43.2万
519,3.1%,2.6,<0.1%,1355225,睿王与庄妃,上映3天,28,<0.1%,0.31,239.6万,43.2万
519,7.2%,7.3,<0.1%,1490406,金的音像店,上映31天,7,<0.1%,0.25,239.6万,43.2万
519,3.1%,0.6,<0.1%,58747,数码宝贝02：最初的召唤,上映30天,104,<0.1%,0.24,239.6万,43.2万
519,13.5%,46.0,<0.1%,64572,长江,,1,<0.1%,0.19,239.6万,43.2万
519,2.5%,3.7,<0.1%,1521582,我，就是风!,点映,13,<0.1%,0.18,239.6万,43.2万
519,44.0%,50.0,<0.1%,1525094,长风万里,上映25天,1,<0.1%,0.17,239.6万,43.2万
519,19.1%,13.2,<0.1%,1524534,金剑行动,上映2天,6,<0.1%,0.16,239.6万,43.2万
519,--,50.0,<0.1%,1340449,单声,,1,<0.1%,0.15,239.6万,43.2万
519,--,25.0,<0.1%,1435076,谁持彩练当空舞,,2,<0.1%,0.15,239.6万,43.2万
519,60.8%,59.0,<0.1%,1504240,出发,,1,<0.1%,0.14,239.6万,43.2万
519,1.6%,1.7,<0.1%,1446251,午夜怪谈,上映46天,25,<0.1%,0.14,239.6万,43.2万
519,5.9%,7.3,<0.1%,1483129,白日之下,上映38天,4,<0.1%,0.14,239.6万,43.2万
519,0.4%,1.9,<0.1%,1370725,草木人间,上映47天,15,<0.1%,0.11,239.6万,43.2万
519,27.6%,35.0,<0.1%,1446306,最后的，最初的,点映,1,<0.1%,0.10,239.6万,43.2万
519,33.0%,41.0,<0.1%,1282839,冰下的鱼,点映,1,<0.1%,0.10,239.6万,43.2万
519,--,40.0,<0.1%,1445662,堡垒,上映59天,1,<0.1%,0.10,239.6万,43.2万
519,0.7%,2.6,<0.1%,1228,天空之城,,10,<0.1%,0.09,239.6万,43.2万
519,55.5%,45.0,<0.1%,1418965,玩转门神,,1,<0.1%,0.09,239.6万,43.2万
519,--,35.0,<0.1%,1280203,开国将帅授衔1955,,1,<0.1%,0.08,239.6万,43.2万
519,16.4%,16.0,<0.1%,1431946,双山阻击战,,1,<0.1%,0.07,239.6万,43.2万
519,--,15.0,<0.1%,1435017,李夏·在路上,上映80天,2,<0.1%,0.06,239.6万,43.2万
519,1.4%,1.0,<0.1%,1491083,大“反”派,上映46天,13,<0.1%,0.05,239.6万,43.2万
519,12.3%,15.0,<0.1%,197420,失业生,,1,<0.1%,0.05,239.6万,43.2万
519,42.1%,16.0,<0.1%,1419063,村里那些事,上映31天,1,<0.1%,0.05,239.6万,43.2万
519,8.7%,8.0,<0.1%,1414041,汉文皇后（戏曲 越剧）,,1,<0.1%,0.03,239.6万,43.2万
519,6.6%,9.0,<0.1%,1387181,悬崖下72小时,,1,<0.1%,0.03,239.6万,43.2万
519,3.4%,1.5,<0.1%,1298450,蜘蛛侠：纵横宇宙,,4,<0.1%,0.02,239.6万,43.2万
519,17.7%,10.0,<0.1%,1487818,烽火塘田,,1,<0.1%,0.02,239.6万,43.2万
519,--,0.4,<0.1%,1331256,吉祥如意,,25,<0.1%,0.02,239.6万,43.2万
519,--,0.1,<0.1%,1413045,白于山之歌,上映3天,45,<0.1%,0.02,239.6万,43.2万
519,0.0%,<0.1,<0.1%,1434565,末路迷途,上映5天,65,<0.1%,0.02,239.6万,43.2万
519,2.6%,2.7,<0.1%,1435032,碧血黎明,上映9天,3,<0.1%,0.02,239.6万,43.2万
519,1.7%,1.3,<0.1%,1504186,中国车手周冠宇,上映31天,3,<0.1%,0.01,239.6万,43.2万
519,0.7%,0.5,<0.1%,1469637,疯狂元素城,,6,<0.1%,0.01,239.6万,43.2万
519,--,7.7,<0.1%,1299144,阿里巴巴与神灯,,3,<0.1%,0.01,239.6万,43.2万
519,0.3%,0.5,<0.1%,1320785,小行星猎人,,6,<0.1%,0.00,239.6万,43.2万
519,4.8%,2.0,<0.1%,78535,功夫熊猫3,,1,<0.1%,0.00,239.6万,43.2万
519,0.8%,0.5,<0.1%,1491079,替身纸人,,4,<0.1%,0.00,239.6万,43.2万
519,2.4%,2.0,<0.1%,1205582,今夜在浪漫剧场,,1,<0.1%,0.00,239.6万,43.2万
519,--,0.5,<0.1%,1374349,孤注一掷,,4,<0.1%,0.00,239.6万,43.2万
