日期,上座率,场均人次,票房占比,电影ID,电影名字,已上映天数,排片场次,排片占比,当日票房,当日总出票,当日总场次
107,8.9%,13.7,40.4%,1458876,年会不能停！,上映10天,103412,25.2%,5679.88,348.6万,40.9万
107,6.5%,8.2,14.2%,1331905,金手指,上映9天,61219,14.9%,2000.50,348.6万,40.9万
107,6.3%,7.1,9.8%,1207114,潜行,上映10天,50143,12.2%,1382.57,348.6万,40.9万
107,7.6%,8.4,6.5%,1385865,三大队,上映24天,25792,6.3%,917.94,348.6万,40.9万
107,3.5%,4.1,5.3%,1461561,一闪一闪亮星星,上映9天,49917,12.2%,753.03,348.6万,40.9万
107,6.2%,8.8,5.2%,1260081,海王2：失落的王国,上映19天,21408,5.2%,740.56,348.6万,40.9万
107,5.1%,5.1,5.0%,1413066,天降大任,上映2天,31746,7.7%,712.89,348.6万,40.9万
107,6.0%,5.6,2.9%,1463744,非诚勿扰3,上映9天,17680,4.3%,408.41,348.6万,40.9万
107,6.8%,12.2,2.8%,1504098,泰勒·斯威夫特：时代巡回演唱会,上映8天,6622,1.6%,393.27,348.6万,40.9万
107,6.1%,5.9,2.2%,1431800,舒克贝塔·五角飞碟,上映9天,14900,3.6%,319.94,348.6万,40.9万
107,6.3%,6.3,0.8%,1482315,名侦探柯南：黑铁的鱼影,上映23天,6145,1.5%,126.24,348.6万,40.9万
107,98.1%,60.5,0.6%,1462645,孤军,上映11天,284,<0.1%,90.44,348.6万,40.9万
107,4.9%,4.7,0.6%,1479147,照明商店,上映31天,4523,1.1%,84.40,348.6万,40.9万
107,5.9%,5.6,0.3%,338436,爱乐之城,,2163,0.5%,47.98,348.6万,40.9万
107,26.2%,58.3,0.3%,1431886,志愿军：雄兵出击,,36,<0.1%,47.16,348.6万,40.9万
107,20.9%,25.2,0.2%,1509537,人民万岁,上映13天,405,<0.1%,40.82,348.6万,40.9万
107,2.6%,158.5,0.2%,1482089,我本是高山,上映45天,69,<0.1%,40.38,348.6万,40.9万
107,2.4%,2.2,0.2%,1320283,你的婚礼,,3656,0.8%,29.42,348.6万,40.9万
107,4.1%,4.1,0.2%,1441467,怒潮,上映23天,1729,0.4%,28.60,348.6万,40.9万
107,10.7%,9.8,0.1%,1459756,狗神,上映24天,631,0.1%,25.45,348.6万,40.9万
107,38.0%,33.4,0.1%,1487331,金色面具英雄,上映10天,223,<0.1%,25.00,348.6万,40.9万
107,8.8%,8.8,0.1%,1218085,旺卡,上映31天,727,0.1%,24.86,348.6万,40.9万
107,3.6%,3.5,0.1%,1490806,蜡笔小新：新次元！超能力大决战,上映44天,1823,0.4%,18.16,348.6万,40.9万
107,10.0%,19.1,0.1%,1474410,爆裂点,上映31天,184,<0.1%,16.35,348.6万,40.9万
107,6.3%,5.6,<0.1%,1493351,飞鸭向前冲,上映31天,676,0.1%,12.73,348.6万,40.9万
107,9.9%,9.8,<0.1%,1457792,汪汪队立大功大电影2：超能大冒险,上映101天,216,<0.1%,6.88,348.6万,40.9万
107,77.5%,147.5,<0.1%,1385972,觅渡,,11,<0.1%,6.48,348.6万,40.9万
107,2.7%,2.4,<0.1%,1451694,再见，李可乐,上映38天,587,0.1%,5.54,348.6万,40.9万
107,--,98.8,<0.1%,1439164,动物园里有什么？,点映,8,<0.1%,3.55,348.6万,40.9万
107,84.6%,99.4,<0.1%,1414027,八百矿工上井冈,,14,<0.1%,3.47,348.6万,40.9万
107,--,171.2,<0.1%,1282399,苍穹,展映,5,<0.1%,3.42,348.6万,40.9万
107,99.1%,100.0,<0.1%,1413914,幸福小马灯,,5,<0.1%,3.25,348.6万,40.9万
107,20.2%,35.6,<0.1%,1461204,仲肯,上映28天,22,<0.1%,3.03,348.6万,40.9万
107,5.7%,5.5,<0.1%,1481790,星愿,上映45天,121,<0.1%,2.44,348.6万,40.9万
107,42.1%,57.1,<0.1%,1397232,少年先锋,上映29天,13,<0.1%,2.22,348.6万,40.9万
107,56.6%,50.0,<0.1%,1182736,等你醒来,上映73天,1,<0.1%,2.00,348.6万,40.9万
107,--,128.0,<0.1%,1487818,烽火塘田,上映59天,3,<0.1%,1.92,348.6万,40.9万
107,2.3%,2.3,<0.1%,1229055,寒单,上映3天,211,<0.1%,1.62,348.6万,40.9万
107,47.8%,63.7,<0.1%,1366178,夜幕将至,点映,6,<0.1%,1.42,348.6万,40.9万
107,63.1%,113.3,<0.1%,1457129,北京2022,,3,<0.1%,1.42,348.6万,40.9万
107,30.8%,26.5,<0.1%,1418965,玩转门神,上映3天,17,<0.1%,1.35,348.6万,40.9万
107,3.4%,2.8,<0.1%,1298381,涉过愤怒的海,上映44天,95,<0.1%,1.21,348.6万,40.9万
