日期,上座率,场均人次,票房占比,电影ID,电影名字,已上映天数,排片场次,排片占比,当日票房,当日总出票,当日总场次
221,10.6%,13.7,31.2%,1489349,第二十条,上映12天,108981,26.5%,6620.98,476.1万,41.1万
221,9.3%,11.6,28.5%,1495728,飞驰人生2,上映12天,115555,28.1%,6062.04,476.1万,41.1万
221,7.4%,9.7,23.6%,1478901,热辣滚烫,上映12天,116179,28.2%,5020.38,476.1万,41.1万
221,11.2%,12.1,16.0%,1500234,熊出没·逆转时空,上映12天,64879,15.7%,3399.96,476.1万,41.1万
221,90.9%,82.2,0.1%,1462645,孤军,上映56天,115,<0.1%,36.15,476.1万,41.1万
221,2.5%,2.1,<0.1%,1458876,年会不能停！,上映55天,1718,0.4%,15.07,476.1万,41.1万
221,--,18.8,<0.1%,1229786,秋田,上映28天,148,<0.1%,11.66,476.1万,41.1万
221,5.4%,5.1,<0.1%,1260081,海王2：失落的王国,上映64天,231,<0.1%,7.26,476.1万,41.1万
221,6.3%,8.7,<0.1%,1504098,泰勒·斯威夫特：时代巡回演唱会,上映53天,166,<0.1%,7.13,476.1万,41.1万
221,3.3%,2.9,<0.1%,1432500,临时劫案,上映34天,472,0.1%,5.28,476.1万,41.1万
221,4.7%,4.0,<0.1%,1442365,养蜂人,上映41天,224,<0.1%,3.91,476.1万,41.1万
221,--,172.8,<0.1%,1282399,苍穹,展映,5,<0.1%,3.45,476.1万,41.1万
221,4.7%,3.5,<0.1%,1331905,金手指,上映54天,214,<0.1%,3.36,476.1万,41.1万
221,2.9%,2.7,<0.1%,1431800,舒克贝塔·五角飞碟,上映54天,277,<0.1%,2.94,476.1万,41.1万
221,--,92.1,<0.1%,1435076,谁持彩练当空舞,上映58天,9,<0.1%,2.93,476.1万,41.1万
221,1.3%,1.2,<0.1%,1335394,八戒之天蓬下界,上映12天,475,0.1%,2.31,476.1万,41.1万
221,3.1%,4.3,<0.1%,1432006,红毯先生,点映,55,<0.1%,2.19,476.1万,41.1万
221,0.2%,73.2,<0.1%,1475123,光明使者周维忠,上映79天,5,<0.1%,1.46,476.1万,41.1万
221,2.8%,3.5,<0.1%,1500903,开心超人之时空营救,上映33天,71,<0.1%,1.15,476.1万,41.1万
