日期,上座率,场均人次,票房占比,电影ID,电影名字,已上映天数,排片场次,排片占比,当日票房,当日总出票,当日总场次
419,1.8%,2.8,25.2%,1470629,哥斯拉大战金刚2：帝国崛起,上映22天,84145,21.6%,1005.04,98.8万,38.8万
419,1.6%,2.4,21.4%,1198578,你想活出怎样的人生,上映17天,92394,23.8%,851.92,98.8万,38.8万
419,3.2%,3.3,8.2%,1487151,我们一起摇太阳,上映21天,24145,6.2%,328.69,98.8万,38.8万
419,2.4%,2.4,6.3%,1370725,草木人间,上映17天,27951,7.2%,252.17,98.8万,38.8万
419,1.2%,1.2,5.4%,1310520,年少日记,上映首日,46571,12.0%,216.76,98.8万,38.8万
419,11.2%,10.4,4.9%,1356011,再见土拨鼠,上映首日,5090,1.3%,196.62,98.8万,38.8万
419,2.3%,2.3,4.7%,1298240,黄雀在后！,上映17天,22041,5.6%,190.57,98.8万,38.8万
419,3.2%,3.2,4.3%,1491083,大“反”派,上映16天,14548,3.7%,174.40,98.8万,38.8万
419,2.4%,2.5,3.5%,475180,功夫熊猫4,上映29天,14012,3.6%,139.57,98.8万,38.8万
419,48.7%,45.3,1.8%,1522020,幸福慢车,上映11天,346,<0.1%,72.80,98.8万,38.8万
419,3.0%,2.8,1.2%,1488960,周处除三害,上映50天,4169,1.0%,49.83,98.8万,38.8万
419,1.4%,1.4,1.1%,1483129,白日之下,上映8天,8448,2.1%,46.78,98.8万,38.8万
419,1.4%,1.3,1.1%,1250661,消失的木偶,上映首日,10647,2.7%,44.45,98.8万,38.8万
419,1.4%,1.5,0.7%,1490406,金的音像店,上映首日,4893,1.2%,28.20,98.8万,38.8万
419,2.6%,3.4,0.6%,1441786,沙丘2,上映43天,1596,0.4%,27.80,98.8万,38.8万
419,3.1%,3.0,0.6%,1448919,坠落的审判,上映22天,2047,0.5%,26.25,98.8万,38.8万
419,48.9%,30.6,0.5%,1437173,绝地重生,上映37天,195,<0.1%,20.58,98.8万,38.8万
419,5.9%,5.6,0.4%,1504186,中国车手周冠宇,上映首日,885,0.2%,19.14,98.8万,38.8万
419,4.6%,4.6,0.4%,1462637,雪豹,上映17天,934,0.2%,17.99,98.8万,38.8万
419,72.2%,113.4,0.3%,1414027,八百矿工上井冈,,50,<0.1%,14.80,98.8万,38.8万
419,0.9%,1.0,0.3%,1469175,童话·世界,上映首日,2816,0.7%,12.42,98.8万,38.8万
419,1.6%,1.5,0.2%,1500234,熊出没·逆转时空,上映70天,2049,0.5%,11.58,98.8万,38.8万
419,3.4%,2.8,0.2%,1489349,第二十条,上映70天,946,0.2%,10.65,98.8万,38.8万
419,0.6%,0.7,0.2%,1479602,疯狂星期一,上映首日,2869,0.7%,8.53,98.8万,38.8万
419,0.5%,0.5,0.1%,1298495,来自汪星的你,上映8天,4309,1.1%,7.63,98.8万,38.8万
419,--,191.4,0.1%,225980,哈尔的移动城堡,点映,8,<0.1%,7.24,98.8万,38.8万
419,15.5%,13.2,0.1%,1445662,堡垒,上映29天,152,<0.1%,6.54,98.8万,38.8万
419,3.7%,3.4,0.1%,1522256,我要当老师,上映2天,426,0.1%,6.36,98.8万,38.8万
419,86.6%,103.5,0.1%,1431842,浙南儿女英雄传之热血长虹,上映86天,17,<0.1%,6.15,98.8万,38.8万
419,61.1%,51.8,0.1%,1355362,我们的七月,,35,<0.1%,5.44,98.8万,38.8万
419,2.3%,2.2,0.1%,1374909,乘船而去,上映8天,635,0.1%,5.39,98.8万,38.8万
419,1.7%,1.5,0.1%,1495728,飞驰人生2,上映70天,713,0.1%,4.37,98.8万,38.8万
419,0.1%,63.5,0.1%,1419044,屋顶足球,点映,16,<0.1%,4.06,98.8万,38.8万
419,60.1%,88.6,<0.1%,1504240,出发,,17,<0.1%,3.76,98.8万,38.8万
419,54.9%,41.6,<0.1%,1414999,一山之隔,,36,<0.1%,3.61,98.8万,38.8万
419,0.5%,0.5,<0.1%,1379047,有你真好！,上映8天,2024,0.5%,3.31,98.8万,38.8万
419,1.3%,1.1,<0.1%,1451499,被我弄丢的你,上映43天,732,0.1%,3.28,98.8万,38.8万
419,--,161.6,<0.1%,1282399,苍穹,展映,5,<0.1%,3.23,98.8万,38.8万
419,--,132.5,<0.1%,1385790,望道,,4,<0.1%,3.04,98.8万,38.8万
419,1.1%,3.7,<0.1%,1164582,沙丘,,122,<0.1%,2.78,98.8万,38.8万
419,0.5%,0.5,<0.1%,1487901,冰雪女王5：融冰之战,上映16天,1633,0.4%,2.57,98.8万,38.8万
419,--,53.0,<0.1%,1459208,边疆军魂,,24,<0.1%,2.54,98.8万,38.8万
419,1.4%,1.3,<0.1%,1446251,午夜怪谈,上映16天,528,0.1%,2.46,98.8万,38.8万
419,9.2%,89.7,<0.1%,1487818,烽火塘田,,10,<0.1%,2.35,98.8万,38.8万
419,45.9%,33.0,<0.1%,1427883,因你而动,上映43天,27,<0.1%,2.22,98.8万,38.8万
419,17.6%,8.2,<0.1%,342288,抗战中的文艺（舞台纪录电影·话剧）,上映首日,78,<0.1%,2.14,98.8万,38.8万
419,--,59.2,<0.1%,1355149,生死坚守,,14,<0.1%,1.65,98.8万,38.8万
419,33.6%,36.5,<0.1%,1435017,李夏·在路上,上映50天,16,<0.1%,1.64,98.8万,38.8万
419,19.6%,17.5,<0.1%,58747,数码宝贝02：最初的召唤,点映,29,<0.1%,1.58,98.8万,38.8万
419,9.4%,21.6,<0.1%,1340449,单声,,26,<0.1%,1.44,98.8万,38.8万
419,16.7%,27.2,<0.1%,1397232,少年先锋,,17,<0.1%,1.44,98.8万,38.8万
419,0.3%,0.4,<0.1%,1328836,出门在外,上映8天,908,0.2%,1.20,98.8万,38.8万
419,97.8%,70.7,<0.1%,1515431,寻秘自然：地球往事,,6,<0.1%,1.19,98.8万,38.8万
419,22.2%,33.4,<0.1%,1431946,双山阻击战,上映85天,11,<0.1%,1.17,98.8万,38.8万
419,98.0%,150.0,<0.1%,1351757,爸爸，我懂你了,,3,<0.1%,1.12,98.8万,38.8万
419,--,47.6,<0.1%,1413629,泪光中的妈妈,点映,9,<0.1%,1.01,98.8万,38.8万
419,0.0%,1.5,<0.1%,1475199,家园梦想,,227,<0.1%,0.99,98.8万,38.8万
419,8.7%,7.3,<0.1%,1414041,汉文皇后（戏曲 越剧）,,27,<0.1%,0.82,98.8万,38.8万
419,--,20.2,<0.1%,1263778,毛泽东在才溪,,9,<0.1%,0.72,98.8万,38.8万
419,50.9%,90.0,<0.1%,1461478,大国粮仓,,3,<0.1%,0.68,98.8万,38.8万
419,0.2%,0.4,<0.1%,1351778,爱在陇南,上映2天,495,0.1%,0.67,98.8万,38.8万
419,--,154.0,<0.1%,1489410,没有一顿火锅解决不了的事,点映,1,<0.1%,0.61,98.8万,38.8万
419,50.7%,75.5,<0.1%,1515447,寻秘自然：无形之力,,2,<0.1%,0.42,98.8万,38.8万
419,--,85.0,<0.1%,1366363,烟火人间,上映98天,2,<0.1%,0.41,98.8万,38.8万
419,12.0%,24.6,<0.1%,1433391,申纪兰,,5,<0.1%,0.39,98.8万,38.8万
419,0.5%,0.5,<0.1%,1448767,灿烂的她,上映36天,185,<0.1%,0.34,98.8万,38.8万
419,--,100.0,<0.1%,1435076,谁持彩练当空舞,,1,<0.1%,0.30,98.8万,38.8万
419,42.2%,83.0,<0.1%,1224876,疯狂绑架,点映,1,<0.1%,0.24,98.8万,38.8万
419,--,70.0,<0.1%,1512418,美好人间,,1,<0.1%,0.24,98.8万,38.8万
419,14.4%,50.0,<0.1%,1516739,北极荒原,展映,1,<0.1%,0.21,98.8万,38.8万
419,56.2%,84.0,<0.1%,1491518,密室逃脱,,1,<0.1%,0.21,98.8万,38.8万
419,--,35.0,<0.1%,1445798,让这首歌作证,,3,<0.1%,0.21,98.8万,38.8万
419,0.3%,0.3,<0.1%,1491012,银河写手,上映21天,144,<0.1%,0.19,98.8万,38.8万
419,--,48.5,<0.1%,1355439,歌动地天,,2,<0.1%,0.19,98.8万,38.8万
419,--,7.1,<0.1%,1462645,孤军,,7,<0.1%,0.14,98.8万,38.8万
419,0.6%,0.7,<0.1%,1511023,午夜6号房,上映50天,60,<0.1%,0.12,98.8万,38.8万
419,80.8%,55.0,<0.1%,1418965,玩转门神,,1,<0.1%,0.11,98.8万,38.8万
