日期,上座率,场均人次,票房占比,电影ID,电影名字,已上映天数,排片场次,排片占比,当日票房,当日总出票,当日总场次
416,1.3%,1.9,27.4%,1470629,哥斯拉大战金刚2：帝国崛起,上映19天,85138,23.8%,688.31,62.4万,35.7万
416,1.1%,1.6,25.1%,1198578,你想活出怎样的人生,上映14天,99976,27.9%,631.27,62.4万,35.7万
416,2.3%,2.3,9.4%,1487151,我们一起摇太阳,上映18天,24581,6.8%,238.17,62.4万,35.7万
416,1.9%,1.9,9.2%,1370725,草木人间,上映14天,31753,8.8%,232.01,62.4万,35.7万
416,1.7%,1.6,6.6%,1298240,黄雀在后！,上映14天,26781,7.4%,167.62,62.4万,35.7万
416,2.7%,2.6,5.6%,1491083,大“反”派,上映13天,14483,4.0%,141.12,62.4万,35.7万
416,1.1%,1.1,2.6%,1483129,白日之下,上映5天,15571,4.3%,67.37,62.4万,35.7万
416,1.0%,1.1,2.4%,475180,功夫熊猫4,上映26天,14650,4.0%,62.11,62.4万,35.7万
416,41.0%,36.3,2.4%,1522020,幸福慢车,上映8天,352,<0.1%,60.54,62.4万,35.7万
416,1.7%,1.8,1.4%,1488960,周处除三害,上映47天,5140,1.4%,36.56,62.4万,35.7万
416,2.2%,2.1,0.9%,1448919,坠落的审判,上映19天,2717,0.7%,23.74,62.4万,35.7万
416,1.7%,2.2,0.9%,1441786,沙丘2,上映40天,1977,0.5%,22.78,62.4万,35.7万
416,0.4%,0.4,0.7%,1298495,来自汪星的你,上映5天,12765,3.5%,19.30,62.4万,35.7万
416,2.7%,2.7,0.6%,1462637,雪豹,上映14天,1431,0.4%,15.61,62.4万,35.7万
416,--,34.2,0.5%,1475199,家园梦想,,100,<0.1%,12.86,62.4万,35.7万
416,1.1%,1.1,0.3%,1374909,乘船而去,上映5天,2703,0.7%,9.99,62.4万,35.7万
416,1.5%,1.5,0.3%,1446251,午夜怪谈,上映13天,1867,0.5%,9.93,62.4万,35.7万
416,2.2%,1.9,0.3%,1489349,第二十条,上映67天,1084,0.3%,8.33,62.4万,35.7万
416,0.4%,0.4,0.2%,1379047,有你真好！,上映5天,5006,1.4%,7.06,62.4万,35.7万
416,48.5%,98.3,0.2%,1414027,八百矿工上井冈,,19,<0.1%,5.27,62.4万,35.7万
416,1.4%,1.2,0.1%,1495728,飞驰人生2,上映67天,869,0.2%,4.36,62.4万,35.7万
416,1.2%,1.0,0.1%,1451499,被我弄丢的你,上映40天,942,0.2%,3.95,62.4万,35.7万
416,0.4%,0.4,0.1%,1328836,出门在外,上映5天,2529,0.7%,3.91,62.4万,35.7万
416,80.6%,84.1,0.1%,1300763,陀螺女孩,上映33天,11,<0.1%,3.70,62.4万,35.7万
416,--,1053.0,0.1%,1504186,中国车手周冠宇,点映,1,<0.1%,3.68,62.4万,35.7万
416,0.6%,0.6,0.1%,1500234,熊出没·逆转时空,上映67天,1617,0.4%,3.47,62.4万,35.7万
416,--,169.0,0.1%,1282399,苍穹,展映,5,<0.1%,3.38,62.4万,35.7万
416,7.2%,6.2,<0.1%,1437173,绝地重生,上映34天,102,<0.1%,2.28,62.4万,35.7万
416,4.3%,4.4,<0.1%,1445662,堡垒,上映26天,145,<0.1%,2.16,62.4万,35.7万
416,--,131.0,<0.1%,1385790,望道,,2,<0.1%,2.03,62.4万,35.7万
416,--,54.8,<0.1%,1419044,屋顶足球,点映,5,<0.1%,1.64,62.4万,35.7万
416,--,65.6,<0.1%,1355149,生死坚守,,10,<0.1%,1.46,62.4万,35.7万
416,54.2%,45.6,<0.1%,1435017,李夏·在路上,上映47天,5,<0.1%,1.34,62.4万,35.7万
416,--,55.1,<0.1%,1459208,边疆军魂,,9,<0.1%,0.99,62.4万,35.7万
416,--,78.4,<0.1%,1504240,出发,,5,<0.1%,0.98,62.4万,35.7万
416,0.1%,0.1,<0.1%,1487901,冰雪女王5：融冰之战,上映13天,1800,0.5%,0.96,62.4万,35.7万
416,39.2%,29.6,<0.1%,1469175,童话·世界,点映,7,<0.1%,0.84,62.4万,35.7万
416,--,33.2,<0.1%,1356011,再见土拨鼠,点映,6,<0.1%,0.69,62.4万,35.7万
416,0.5%,0.5,<0.1%,1491012,银河写手,上映18天,268,<0.1%,0.50,62.4万,35.7万
416,--,66.7,<0.1%,1359153,芳草满天涯,,3,<0.1%,0.50,62.4万,35.7万
416,--,35.5,<0.1%,1489410,没有一顿火锅解决不了的事,点映,2,<0.1%,0.49,62.4万,35.7万
416,--,21.0,<0.1%,1489930,阿莫阿依,上映32天,4,<0.1%,0.47,62.4万,35.7万
416,0.8%,0.7,<0.1%,1458881,陨石江湖：天降20亿,上映5天,200,<0.1%,0.40,62.4万,35.7万
416,33.5%,22.0,<0.1%,1431842,浙南儿女英雄传之热血长虹,上映83天,5,<0.1%,0.38,62.4万,35.7万
416,0.4%,0.4,<0.1%,1448767,灿烂的她,上映33天,278,<0.1%,0.36,62.4万,35.7万
416,--,59.0,<0.1%,1355362,我们的七月,,2,<0.1%,0.35,62.4万,35.7万
