日期,上座率,场均人次,票房占比,电影ID,电影名字,已上映天数,排片场次,排片占比,当日票房,当日总出票,当日总场次
323,6.7%,10.1,37.5%,475180,功夫熊猫4,上映2天,113860,27.6%,4739.59,305.8万,41.1万
323,6.3%,8.2,17.2%,1488960,周处除三害,上映23天,67319,16.3%,2182.60,305.8万,41.1万
323,5.8%,8.5,11.7%,1441786,沙丘2,上映16天,36321,8.8%,1488.28,305.8万,41.1万
323,6.8%,7.7,9.4%,1487151,我们一起摇太阳,点映,37216,9.0%,1191.08,305.8万,41.1万
323,4.7%,5.0,5.4%,1448767,灿烂的她,上映9天,36001,8.7%,684.30,305.8万,41.1万
323,4.3%,4.5,4.5%,1451499,被我弄丢的你,上映16天,31714,7.7%,575.98,305.8万,41.1万
323,5.6%,5.7,3.9%,1489349,第二十条,上映43天,20844,5.0%,494.17,305.8万,41.1万
323,6.8%,6.9,3.6%,1500234,熊出没·逆转时空,上映43天,17261,4.1%,466.72,305.8万,41.1万
323,5.6%,5.6,3.3%,1495728,飞驰人生2,上映43天,17819,4.3%,420.94,305.8万,41.1万
323,3.4%,3.1,0.8%,1478901,热辣滚烫,上映43天,8137,1.9%,103.69,305.8万,41.1万
323,2.4%,2.3,0.4%,1491012,银河写手,点映,6057,1.4%,55.82,305.8万,41.1万
323,42.1%,42.6,0.4%,1448919,坠落的审判,点映,267,<0.1%,54.09,305.8万,41.1万
323,1.7%,1.6,0.2%,1432006,红毯先生,上映9天,4452,1.0%,27.68,305.8万,41.1万
323,3.5%,3.5,0.1%,1442386,挑战,上映9天,1460,0.3%,19.49,305.8万,41.1万
323,1.2%,1.2,0.1%,1445662,堡垒,上映2天,3292,0.8%,13.11,305.8万,41.1万
323,24.5%,25.3,<0.1%,1483129,白日之下,点映,106,<0.1%,11.25,305.8万,41.1万
323,41.9%,81.2,<0.1%,1385972,觅渡,,29,<0.1%,11.08,305.8万,41.1万
323,3.1%,2.8,<0.1%,1511023,午夜6号房,上映23天,1159,0.2%,10.28,305.8万,41.1万
323,78.1%,102.4,<0.1%,1462645,孤军,上映87天,29,<0.1%,10.04,305.8万,41.1万
323,2.3%,2.2,<0.1%,1515588,古堡守灵人,上映9天,1091,0.2%,6.95,305.8万,41.1万
323,7.7%,9.2,<0.1%,1437173,绝地重生,上映10天,175,<0.1%,5.16,305.8万,41.1万
323,--,174.8,<0.1%,1282399,苍穹,展映,5,<0.1%,3.49,305.8万,41.1万
323,--,19.6,<0.1%,1475199,家园梦想,,34,<0.1%,3.06,305.8万,41.1万
323,66.4%,89.9,<0.1%,1414027,八百矿工上井冈,,11,<0.1%,2.95,305.8万,41.1万
323,7.7%,20.4,<0.1%,1443924,奥本海默,,27,<0.1%,2.94,305.8万,41.1万
323,8.4%,8.7,<0.1%,1489930,阿莫阿依,上映8天,83,<0.1%,2.28,305.8万,41.1万
323,--,109.3,<0.1%,1385790,望道,,3,<0.1%,2.03,305.8万,41.1万
323,66.8%,72.4,<0.1%,1431842,浙南儿女英雄传之热血长虹,上映59天,8,<0.1%,2.02,305.8万,41.1万
323,3.1%,2.9,<0.1%,1505363,还是觉得你最好2,上映29天,175,<0.1%,1.95,305.8万,41.1万
323,5.0%,17.2,<0.1%,1413629,泪光中的妈妈,,48,<0.1%,1.91,305.8万,41.1万
323,0.4%,0.9,<0.1%,1427961,寻找消失的恋人,上映2天,445,0.1%,1.37,305.8万,41.1万
323,3.2%,2.7,<0.1%,1460981,追月,上映16天,114,<0.1%,1.21,305.8万,41.1万
323,80.8%,259.0,<0.1%,1516739,北极荒原,展映,1,<0.1%,1.11,305.8万,41.1万
323,0.4%,0.5,<0.1%,1499749,高中的我们,上映2天,716,0.1%,1.07,305.8万,41.1万
323,0.0%,<0.1,<0.1%,1336423,青檀,上映2天,3276,0.7%,0.98,305.8万,41.1万
323,41.0%,58.7,<0.1%,1491518,密室逃脱,,6,<0.1%,0.97,305.8万,41.1万
323,0.6%,0.6,<0.1%,1449034,生死赛车,上映8天,353,<0.1%,0.79,305.8万,41.1万
323,71.4%,46.3,<0.1%,1366363,烟火人间,上映71天,4,<0.1%,0.70,305.8万,41.1万
323,1.7%,1.4,<0.1%,1520211,贞胜,上映2天,214,<0.1%,0.64,305.8万,41.1万
323,1.2%,0.9,<0.1%,1497948,戏杀,上映22天,173,<0.1%,0.57,305.8万,41.1万
323,1.7%,1.7,<0.1%,1431800,舒克贝塔·五角飞碟,上映85天,76,<0.1%,0.50,305.8万,41.1万
323,--,100.0,<0.1%,1298240,黄雀在后！,点映,1,<0.1%,0.50,305.8万,41.1万
323,2.9%,9.7,<0.1%,1427883,因你而动,上映16天,20,<0.1%,0.49,305.8万,41.1万
