日期,上座率,场均人次,票房占比,电影ID,电影名字,已上映天数,排片场次,排片占比,当日票房,当日总出票,当日总场次
116,3.2%,4.9,36.6%,1458876,年会不能停！,上映19天,93867,25.9%,1775.24,124.0万,36.2万
116,3.2%,3.8,13.8%,1331905,金手指,上映18天,45090,12.4%,672.52,124.0万,36.2万
116,2.4%,3.1,10.3%,1442365,养蜂人,上映5天,41263,11.4%,503.19,124.0万,36.2万
116,1.7%,2.0,8.0%,1439164,动物园里有什么？,上映5天,51522,14.2%,391.01,124.0万,36.2万
116,2.9%,3.1,7.1%,1207114,潜行,上映19天,29673,8.2%,347.66,124.0万,36.2万
116,3.1%,3.3,5.0%,1385865,三大队,上映33天,17536,4.8%,243.10,124.0万,36.2万
116,2.5%,3.1,3.4%,1260081,海王2：失落的王国,上映28天,13943,3.8%,165.24,124.0万,36.2万
116,2.0%,2.1,2.7%,1461561,一闪一闪亮星星,上映18天,17106,4.7%,130.81,124.0万,36.2万
116,78.8%,76.7,2.4%,1462645,孤军,上映20天,320,<0.1%,118.54,124.0万,36.2万
116,3.1%,2.8,1.7%,1463744,非诚勿扰3,上映18天,7667,2.1%,86.55,124.0万,36.2万
116,1.2%,1.2,1.6%,1376729,大雨,上映5天,15957,4.4%,79.68,124.0万,36.2万
116,2.2%,3.8,1.1%,1504098,泰勒·斯威夫特：时代巡回演唱会,上映17天,3166,0.8%,54.18,124.0万,36.2万
116,2.3%,2.1,0.7%,1431800,舒克贝塔·五角飞碟,上映18天,4351,1.2%,34.04,124.0万,36.2万
116,2.7%,2.5,0.6%,1479147,照明商店,上映40天,3102,0.8%,30.62,124.0万,36.2万
116,53.7%,81.4,0.6%,1431886,志愿军：雄兵出击,,65,<0.1%,30.47,124.0万,36.2万
116,3.2%,3.1,0.6%,1482315,名侦探柯南：黑铁的鱼影,上映32天,2978,0.8%,29.85,124.0万,36.2万
116,68.4%,201.8,0.3%,1432500,临时劫案,点映,6,<0.1%,15.77,124.0万,36.2万
116,15.5%,16.4,0.3%,1509537,人民万岁,上映22天,245,<0.1%,15.30,124.0万,36.2万
116,2.4%,2.2,0.2%,338436,爱乐之城,,1600,0.4%,13.56,124.0万,36.2万
116,0.6%,67.3,0.2%,1446134,开山人,上映50天,33,<0.1%,10.98,124.0万,36.2万
116,1.3%,1.3,0.2%,1413066,天降大任,上映11天,2057,0.5%,9.81,124.0万,36.2万
116,--,111.9,0.1%,1350957,微信奇缘,上映首日,26,<0.1%,8.75,124.0万,36.2万
116,5.4%,4.8,0.1%,1218085,旺卡,上映40天,438,0.1%,7.63,124.0万,36.2万
116,9.4%,8.0,0.1%,1493351,飞鸭向前冲,上映40天,242,<0.1%,7.53,124.0万,36.2万
116,0.4%,0.6,0.1%,1320785,小行星猎人,上映5天,2408,0.6%,5.77,124.0万,36.2万
116,0.7%,0.7,<0.1%,1356108,回西藏,上映6天,1684,0.4%,4.15,124.0万,36.2万
116,25.2%,22.4,<0.1%,1482089,我本是高山,上映54天,53,<0.1%,4.14,124.0万,36.2万
116,3.8%,3.6,<0.1%,1459756,狗神,上映33天,317,<0.1%,4.11,124.0万,36.2万
116,1.6%,1.5,<0.1%,1490806,蜡笔小新：新次元！超能力大决战,上映53天,840,0.2%,3.71,124.0万,36.2万
116,1.5%,1.4,<0.1%,1441467,怒潮,上映32天,617,0.1%,3.38,124.0万,36.2万
116,1.6%,1.9,<0.1%,1451694,再见，李可乐,上映47天,430,0.1%,3.31,124.0万,36.2万
116,--,163.6,<0.1%,1282399,苍穹,展映,5,<0.1%,3.27,124.0万,36.2万
116,--,84.3,<0.1%,1414027,八百矿工上井冈,,15,<0.1%,3.17,124.0万,36.2万
116,1.0%,0.9,<0.1%,1320283,你的婚礼,,881,0.2%,3.02,124.0万,36.2万
116,2.6%,2.7,<0.1%,1366178,夜幕将至,上映5天,285,<0.1%,2.98,124.0万,36.2万
116,0.6%,2.7,<0.1%,1366363,烟火人间,上映4天,304,<0.1%,2.95,124.0万,36.2万
116,32.9%,100.0,<0.1%,1443556,夏来冬往,上映7天,4,<0.1%,2.00,124.0万,36.2万
116,75.7%,150.0,<0.1%,1393548,白床单,上映83天,1,<0.1%,1.50,124.0万,36.2万
116,2.4%,3.5,<0.1%,1457792,汪汪队立大功大电影2：超能大冒险,,113,<0.1%,1.12,124.0万,36.2万
116,4.2%,4.2,<0.1%,1300093,吾爱敦煌,上映61天,66,<0.1%,0.98,124.0万,36.2万
116,2.9%,14.5,<0.1%,1515202,涅槃重生,上映26天,20,<0.1%,0.91,124.0万,36.2万
116,11.3%,28.3,<0.1%,1280203,开国将帅授衔1955,上映54天,10,<0.1%,0.78,124.0万,36.2万
116,3.0%,8.3,<0.1%,1423992,零度极限,,34,<0.1%,0.68,124.0万,36.2万
116,12.2%,16.0,<0.1%,1417411,暴风,,10,<0.1%,0.60,124.0万,36.2万
116,2.2%,2.2,<0.1%,1355509,消失的收藏家,上映26天,91,<0.1%,0.59,124.0万,36.2万
116,2.6%,2.2,<0.1%,1474410,爆裂点,上映40天,63,<0.1%,0.56,124.0万,36.2万
116,--,45.2,<0.1%,1445662,堡垒,,5,<0.1%,0.56,124.0万,36.2万
116,1.6%,1.7,<0.1%,1481790,星愿,上映54天,69,<0.1%,0.48,124.0万,36.2万
116,25.4%,20.9,<0.1%,1216449,刀尖,上映54天,9,<0.1%,0.45,124.0万,36.2万
