日期,上座率,场均人次,票房占比,电影ID,电影名字,已上映天数,排片场次,排片占比,当日票房,当日总出票,当日总场次
409,2.2%,3.2,35.8%,1198578,你想活出怎样的人生,上映7天,118050,32.0%,1462.89,102.1万,36.8万
409,1.9%,2.7,25.8%,1470629,哥斯拉大战金刚2：帝国崛起,上映12天,91449,24.8%,1056.54,102.1万,36.8万
409,2.6%,2.6,9.1%,1370725,草木人间,上映7天,38000,10.3%,374.02,102.1万,36.8万
409,2.4%,2.3,8.0%,1298240,黄雀在后！,上映7天,36527,9.9%,327.90,102.1万,36.8万
409,3.0%,2.9,6.5%,1487151,我们一起摇太阳,上映11天,22112,6.0%,267.25,102.1万,36.8万
409,2.3%,2.1,3.8%,1491083,大“反”派,上映6天,19094,5.1%,155.17,102.1万,36.8万
409,1.1%,1.1,1.7%,475180,功夫熊猫4,上映19天,15373,4.1%,70.56,102.1万,36.8万
409,12.6%,12.7,1.2%,1522020,幸福慢车,上映首日,838,0.2%,50.62,102.1万,36.8万
409,1.9%,1.8,1.0%,1488960,周处除三害,上映40天,6106,1.6%,43.56,102.1万,36.8万
409,3.4%,3.1,0.9%,1448919,坠落的审判,上映12天,2999,0.8%,37.99,102.1万,36.8万
409,4.6%,4.4,0.9%,1462637,雪豹,上映7天,2051,0.5%,37.37,102.1万,36.8万
409,12.8%,8.9,0.8%,1448767,灿烂的她,上映26天,1022,0.2%,35.87,102.1万,36.8万
409,2.9%,3.1,0.7%,1441786,沙丘2,上映33天,2028,0.5%,31.88,102.1万,36.8万
409,61.1%,36.9,0.5%,1437173,绝地重生,上映27天,181,<0.1%,23.28,102.1万,36.8万
409,4.5%,3.7,0.5%,1489349,第二十条,上映60天,1430,0.3%,20.82,102.1万,36.8万
409,--,71.0,0.3%,1475199,家园梦想,,58,<0.1%,15.66,102.1万,36.8万
409,1.5%,1.4,0.3%,1446251,午夜怪谈,上映6天,2427,0.6%,12.47,102.1万,36.8万
409,1.9%,1.6,0.1%,1495728,飞驰人生2,上映60天,1122,0.3%,7.64,102.1万,36.8万
409,95.6%,80.0,0.1%,1300763,陀螺女孩,上映26天,21,<0.1%,6.71,102.1万,36.8万
409,1.9%,1.6,0.1%,1451499,被我弄丢的你,上映33天,1011,0.2%,6.43,102.1万,36.8万
409,0.7%,0.7,<0.1%,1500234,熊出没·逆转时空,上映60天,1462,0.3%,3.94,102.1万,36.8万
409,99.6%,150.6,<0.1%,1483129,白日之下,点映,5,<0.1%,3.88,102.1万,36.8万
409,6.5%,5.7,<0.1%,1445662,堡垒,上映19天,176,<0.1%,3.20,102.1万,36.8万
409,--,160.2,<0.1%,1282399,苍穹,展映,5,<0.1%,3.20,102.1万,36.8万
409,0.2%,0.3,<0.1%,1487901,冰雪女王5：融冰之战,上映6天,3124,0.8%,2.93,102.1万,36.8万
409,50.3%,87.1,<0.1%,1414027,八百矿工上井冈,,9,<0.1%,2.42,102.1万,36.8万
409,34.9%,113.4,<0.1%,1379047,有你真好！,点映,5,<0.1%,2.15,102.1万,36.8万
409,1.4%,1.1,<0.1%,1478901,热辣滚烫,上映60天,440,0.1%,2.09,102.1万,36.8万
409,--,134.7,<0.1%,1385790,望道,,3,<0.1%,2.02,102.1万,36.8万
409,--,37.7,<0.1%,1413629,泪光中的妈妈,,14,<0.1%,1.48,102.1万,36.8万
409,1.0%,54.7,<0.1%,1374909,乘船而去,点映,7,<0.1%,1.33,102.1万,36.8万
409,0.6%,0.5,<0.1%,1491012,银河写手,上映11天,560,0.1%,1.27,102.1万,36.8万
409,30.1%,26.2,<0.1%,1427961,寻找消失的恋人,上映19天,13,<0.1%,1.02,102.1万,36.8万
409,8.6%,17.0,<0.1%,1340449,单声,,12,<0.1%,0.74,102.1万,36.8万
409,61.1%,65.3,<0.1%,1504240,出发,,3,<0.1%,0.49,102.1万,36.8万
409,--,50.0,<0.1%,1355149,生死坚守,,4,<0.1%,0.46,102.1万,36.8万
409,--,100.0,<0.1%,1458881,陨石江湖：天降20亿,点映,1,<0.1%,0.45,102.1万,36.8万
409,--,57.0,<0.1%,1355362,我们的七月,,2,<0.1%,0.34,102.1万,36.8万
409,--,7.3,<0.1%,1489930,阿莫阿依,上映25天,12,<0.1%,0.30,102.1万,36.8万
409,48.8%,46.3,<0.1%,1263778,毛泽东在才溪,,3,<0.1%,0.27,102.1万,36.8万
409,0.6%,0.7,<0.1%,1511023,午夜6号房,上映40天,120,<0.1%,0.26,102.1万,36.8万
409,0.9%,0.8,<0.1%,1442386,挑战,上映26天,56,<0.1%,0.20,102.1万,36.8万
409,--,31.3,<0.1%,1459208,边疆军魂,,3,<0.1%,0.18,102.1万,36.8万
409,54.1%,38.0,<0.1%,1515431,寻秘自然：地球往事,,1,<0.1%,0.13,102.1万,36.8万
409,--,6.3,<0.1%,1362705,爱的重叠,上映89天,6,<0.1%,0.13,102.1万,36.8万
409,0.6%,0.6,<0.1%,1515588,古堡守灵人,上映26天,72,<0.1%,0.12,102.1万,36.8万
409,0.5%,0.4,<0.1%,1432006,红毯先生,上映26天,72,<0.1%,0.12,102.1万,36.8万
409,--,45.0,<0.1%,1351757,爸爸，我懂你了,,1,<0.1%,0.11,102.1万,36.8万
409,29.2%,45.0,<0.1%,1418965,玩转门神,上映96天,1,<0.1%,0.09,102.1万,36.8万
409,--,20.0,<0.1%,1493738,井冈星火,,1,<0.1%,0.08,102.1万,36.8万
409,12.7%,7.5,<0.1%,1427883,因你而动,上映33天,4,<0.1%,0.07,102.1万,36.8万
409,7.4%,7.3,<0.1%,1435017,李夏·在路上,上映40天,4,<0.1%,0.06,102.1万,36.8万
409,--,20.0,<0.1%,1298495,来自汪星的你,点映,1,<0.1%,0.06,102.1万,36.8万
409,--,1.1,<0.1%,1469929,假如爱情欺骗了你,上映9天,16,<0.1%,0.03,102.1万,36.8万
409,0.5%,0.7,<0.1%,343568,哥斯拉大战金刚,,13,<0.1%,0.02,102.1万,36.8万
409,0.4%,0.6,<0.1%,1497948,戏杀,上映39天,11,<0.1%,0.02,102.1万,36.8万
409,1.9%,0.2,<0.1%,1244,红猪,,25,<0.1%,0.01,102.1万,36.8万
409,1.8%,1.0,<0.1%,1217023,唐人街探案3,,4,<0.1%,0.01,102.1万,36.8万
409,1.4%,1.7,<0.1%,1387181,悬崖下72小时,上映75天,3,<0.1%,0.01,102.1万,36.8万
409,0.1%,0.2,<0.1%,1320785,小行星猎人,上映89天,14,<0.1%,0.01,102.1万,36.8万
409,1.5%,1.0,<0.1%,1459756,狗神,,4,<0.1%,0.01,102.1万,36.8万
409,--,0.5,<0.1%,672203,超级的我,,8,<0.1%,0.01,102.1万,36.8万
409,--,1.0,<0.1%,1413802,陌路狂刀,上映39天,3,<0.1%,0.01,102.1万,36.8万
409,1.7%,0.7,<0.1%,78894,红色恋人,,3,<0.1%,0.00,102.1万,36.8万
409,--,1.0,<0.1%,1299938,蜘蛛夫人：超感觉醒,上映40天,2,<0.1%,0.00,102.1万,36.8万
409,2.4%,0.2,<0.1%,1452790,消失的她,,13,<0.1%,0.00,102.1万,36.8万
409,7.5%,0.1,<0.1%,1374349,孤注一掷,,15,<0.1%,0.00,102.1万,36.8万
409,--,0.1,<0.1%,359377,罗小黑战记,,7,<0.1%,0.00,102.1万,36.8万
409,0.1%,0.1,<0.1%,1423992,零度极限,上映7天,10,<0.1%,0.00,102.1万,36.8万
409,0.0%,<0.1,<0.1%,1423883,国鼎魂（戏曲 苏剧）,上映16天,34,<0.1%,0.00,102.1万,36.8万
409,--,0.3,<0.1%,1262729,冒牌特工,上映32天,3,<0.1%,0.00,102.1万,36.8万
409,--,0.3,<0.1%,1458876,年会不能停！,,3,<0.1%,0.00,102.1万,36.8万
409,--,1.0,<0.1%,1461478,大国粮仓,,1,<0.1%,0.00,102.1万,36.8万
409,--,0.5,<0.1%,1413511,极速阻击,上映24天,2,<0.1%,0.00,102.1万,36.8万
409,--,0.0,<0.1%,1413066,天降大任,上映95天,1,<0.1%,0,102.1万,36.8万
409,--,0.0,<0.1%,1216449,刀尖,,1,<0.1%,0,102.1万,36.8万
409,--,0.0,<0.1%,1336423,青檀,上映19天,3,<0.1%,0,102.1万,36.8万
409,--,0.0,<0.1%,525889,孤注一掷,,1,<0.1%,0,102.1万,36.8万
409,--,0.0,<0.1%,1290415,课本,上映74天,1,<0.1%,0,102.1万,36.8万
409,--,0.0,<0.1%,344990,唐人街探案2,,5,<0.1%,0,102.1万,36.8万
409,--,0.0,<0.1%,1431907,茶啊二中,,3,<0.1%,0,102.1万,36.8万
409,--,0.0,<0.1%,1299991,临时家族,上映18天,6,<0.1%,0,102.1万,36.8万
409,--,0.0,<0.1%,1486816,生命底色,,2,<0.1%,0,102.1万,36.8万
409,--,0.0,<0.1%,1414999,一山之隔,,1,<0.1%,0,102.1万,36.8万
409,--,0.0,<0.1%,1218273,误杀,,15,<0.1%,0,102.1万,36.8万
409,--,0.0,<0.1%,1505569,大道十年,,1,<0.1%,0,102.1万,36.8万
409,--,0.0,<0.1%,1228,天空之城,,18,<0.1%,0,102.1万,36.8万
409,--,0.0,<0.1%,1443049,孔秀,上映33天,4,<0.1%,0,102.1万,36.8万
409,--,0.0,<0.1%,1250896,超级马力欧兄弟大电影,,1,<0.1%,0,102.1万,36.8万
409,--,0.0,<0.1%,1351501,水让我重生,,1,<0.1%,0,102.1万,36.8万
409,--,0.0,<0.1%,1337941,雄狮少年,,2,<0.1%,0,102.1万,36.8万
409,--,0.0,<0.1%,1460981,追月,上映33天,4,<0.1%,0,102.1万,36.8万
409,--,0.0,<0.1%,301457,周处除三害,,1,<0.1%,0,102.1万,36.8万
409,--,0.0,<0.1%,1398529,家有儿女之神犬当家,上映81天,6,<0.1%,0,102.1万,36.8万
409,--,0.0,<0.1%,1359153,芳草满天涯,,1,<0.1%,0,102.1万,36.8万
409,--,0.0,<0.1%,1500903,开心超人之时空营救,上映81天,5,<0.1%,0,102.1万,36.8万
409,--,0.0,<0.1%,1482089,我本是高山,,1,<0.1%,0,102.1万,36.8万
409,--,0.0,<0.1%,1366363,烟火人间,上映88天,9,<0.1%,0,102.1万,36.8万
409,--,0.0,<0.1%,1515447,寻秘自然：无形之力,,2,<0.1%,0,102.1万,36.8万
409,--,0.0,<0.1%,1509537,人民万岁,,1,<0.1%,0,102.1万,36.8万
409,--,0.0,<0.1%,1383307,奇迹·笨小孩,,8,<0.1%,0,102.1万,36.8万
409,--,0.0,<0.1%,247300,唐人街探案,,2,<0.1%,0,102.1万,36.8万
