日期,上座率,场均人次,票房占比,电影ID,电影名字,已上映天数,排片场次,排片占比,当日票房,当日总出票,当日总场次
127,5.7%,8.8,38.6%,1458876,年会不能停！,上映30天,101332,23.8%,3504.91,232.1万,42.5万
127,3.4%,4.5,15.9%,1432500,临时劫案,上映9天,82415,19.3%,1445.45,232.1万,42.5万
127,5.3%,6.0,10.7%,1331905,金手指,上映29天,40741,9.5%,973.77,232.1万,42.5万
127,4.4%,5.4,5.9%,1442365,养蜂人,上映16天,24146,5.6%,536.22,232.1万,42.5万
127,3.8%,3.9,4.4%,1439164,动物园里有什么？,上映16天,27240,6.4%,400.79,232.1万,42.5万
127,5.2%,5.4,3.8%,1385865,三大队,上映44天,15274,3.5%,346.08,232.1万,42.5万
127,4.8%,6.4,3.7%,1260081,海王2：失落的王国,上映39天,13531,3.1%,335.15,232.1万,42.5万
127,3.4%,3.4,2.6%,1207114,潜行,上映30天,17984,4.2%,237.09,232.1万,42.5万
127,9.3%,17.3,2.4%,1504098,泰勒·斯威夫特：时代巡回演唱会,上映28天,2841,0.6%,225.36,232.1万,42.5万
127,3.0%,3.0,2.2%,1500903,开心超人之时空营救,上映8天,20668,4.8%,204.56,232.1万,42.5万
127,4.9%,4.8,1.6%,1431800,舒克贝塔·五角飞碟,上映29天,8480,1.9%,151.39,232.1万,42.5万
127,5.9%,5.9,1.2%,1482315,名侦探柯南：黑铁的鱼影,上映43天,5878,1.3%,115.90,232.1万,42.5万
127,2.6%,2.6,1.1%,1461561,一闪一闪亮星星,上映29天,11538,2.7%,104.36,232.1万,42.5万
127,4.5%,3.9,0.8%,1463744,非诚勿扰3,上映29天,4519,1.0%,72.80,232.1万,42.5万
127,3.8%,3.6,0.5%,1479147,照明商店,上映51天,3291,0.7%,46.76,232.1万,42.5万
127,1.5%,1.5,0.4%,1458940,江豚·风时舞,上映8天,7167,1.6%,40.21,232.1万,42.5万
127,2.3%,2.2,0.4%,1376729,大雨,上映16天,4347,1.0%,38.86,232.1万,42.5万
127,3.1%,2.9,0.3%,1413066,天降大任,上映22天,3360,0.7%,35.13,232.1万,42.5万
127,56.2%,52.9,0.2%,1482089,我本是高山,上映65天,127,<0.1%,26.79,232.1万,42.5万
127,1.2%,1.2,0.2%,1328895,花千骨,上映8天,5682,1.3%,26.72,232.1万,42.5万
127,7.3%,7.8,0.2%,1218085,旺卡,上映51天,694,0.1%,21.64,232.1万,42.5万
127,4.9%,4.8,0.1%,338436,爱乐之城,,716,0.1%,14.31,232.1万,42.5万
127,0.8%,0.9,0.1%,1461260,森巴幸福岛之我要回家,上映首日,4567,1.0%,13.20,232.1万,42.5万
127,2.8%,3.1,0.1%,1490806,蜡笔小新：新次元！超能力大决战,上映64天,1427,0.3%,12.63,232.1万,42.5万
127,1.9%,4.1,0.1%,1320785,小行星猎人,上映16天,804,0.1%,12.58,232.1万,42.5万
127,7.6%,7.1,0.1%,1459756,狗神,上映44天,345,<0.1%,10.57,232.1万,42.5万
127,0.5%,0.5,0.1%,1426009,世界欠我一个你,上映2天,5832,1.3%,10.34,232.1万,42.5万
127,5.6%,5.5,0.1%,1493351,飞鸭向前冲,上映51天,499,0.1%,9.85,232.1万,42.5万
127,19.8%,24.4,<0.1%,1509537,人民万岁,上映33天,94,<0.1%,8.73,232.1万,42.5万
127,2.5%,3.7,<0.1%,1398529,家有儿女之神犬当家,上映8天,470,0.1%,6.36,232.1万,42.5万
127,11.5%,43.7,<0.1%,1487331,金色面具英雄,上映30天,28,<0.1%,6.30,232.1万,42.5万
127,6.1%,6.2,<0.1%,1457792,汪汪队立大功大电影2：超能大冒险,,283,<0.1%,5.87,232.1万,42.5万
127,29.1%,44.8,<0.1%,1439161,热烈,,19,<0.1%,4.59,232.1万,42.5万
127,23.2%,98.3,<0.1%,1414027,八百矿工上井冈,,18,<0.1%,4.42,232.1万,42.5万
127,4.8%,9.5,<0.1%,1366363,烟火人间,上映15天,130,<0.1%,4.12,232.1万,42.5万
127,--,171.6,<0.1%,1282399,苍穹,展映,5,<0.1%,3.43,232.1万,42.5万
127,1.2%,1.1,<0.1%,1433654,还是觉得你最好,,833,0.1%,2.97,232.1万,42.5万
127,2.3%,2.1,<0.1%,1451694,再见，李可乐,上映58天,343,<0.1%,2.82,232.1万,42.5万
127,0.3%,0.3,<0.1%,1435155,青春梦幻之穷小子的幸福,上映9天,3217,0.7%,2.68,232.1万,42.5万
127,6.5%,4.4,<0.1%,1366178,夜幕将至,上映16天,134,<0.1%,2.24,232.1万,42.5万
127,1.6%,1.4,<0.1%,1320283,你的婚礼,,449,0.1%,2.21,232.1万,42.5万
127,53.0%,200.0,<0.1%,1393548,白床单,上映94天,5,<0.1%,2.00,232.1万,42.5万
127,--,170.0,<0.1%,1457129,北京2022,,3,<0.1%,1.84,232.1万,42.5万
127,--,3.9,<0.1%,1229786,秋田,上映3天,119,<0.1%,1.58,232.1万,42.5万
127,24.0%,22.5,<0.1%,1423992,零度极限,,25,<0.1%,1.47,232.1万,42.5万
