日期,上座率,场均人次,票房占比,电影ID,电影名字,已上映天数,排片场次,排片占比,当日票房,当日总出票,当日总场次
110,3.6%,5.4,38.1%,1458876,年会不能停！,上映13天,96207,27.5%,2046.85,136.4万,34.9万
110,3.2%,3.9,16.2%,1331905,金手指,上映12天,57074,16.3%,871.00,136.4万,34.9万
110,3.1%,3.4,11.8%,1207114,潜行,上映13天,48622,13.9%,638.21,136.4万,34.9万
110,3.5%,3.8,7.9%,1385865,三大队,上映27天,27290,7.8%,426.47,136.4万,34.9万
110,2.6%,3.6,5.4%,1260081,海王2：失落的王国,上映22天,20553,5.8%,292.22,136.4万,34.9万
110,1.7%,1.9,5.3%,1461561,一闪一闪亮星星,上映12天,40870,11.7%,286.16,136.4万,34.9万
110,2.9%,2.7,3.4%,1463744,非诚勿扰3,上映12天,16858,4.8%,187.00,136.4万,34.9万
110,80.0%,65.7,2.4%,1462645,孤军,上映14天,424,0.1%,132.95,136.4万,34.9万
110,2.2%,3.6,1.6%,1504098,泰勒·斯威夫特：时代巡回演唱会,上映11天,5530,1.5%,87.42,136.4万,34.9万
110,2.8%,2.7,0.9%,1479147,照明商店,上映34天,4932,1.4%,52.93,136.4万,34.9万
110,19.2%,20.8,0.9%,1509537,人民万岁,上映16天,602,0.1%,50.77,136.4万,34.9万
110,70.4%,53.1,0.7%,1482089,我本是高山,上映48天,190,<0.1%,38.75,136.4万,34.9万
110,2.4%,2.3,0.6%,1482315,名侦探柯南：黑铁的鱼影,上映26天,4698,1.3%,35.36,136.4万,34.9万
110,1.6%,1.5,0.5%,1431800,舒克贝塔·五角飞碟,上映12天,5375,1.5%,29.83,136.4万,34.9万
110,3.1%,3.1,0.5%,338436,爱乐之城,,2489,0.7%,28.37,136.4万,34.9万
110,45.5%,40.0,0.4%,1487331,金色面具英雄,上映13天,168,<0.1%,22.99,136.4万,34.9万
110,44.0%,69.8,0.3%,1431886,志愿军：雄兵出击,,50,<0.1%,20.85,136.4万,34.9万
110,18.0%,18.7,0.2%,1474410,爆裂点,上映34天,182,<0.1%,15.95,136.4万,34.9万
110,1.7%,1.7,0.2%,1441467,怒潮,上映26天,2348,0.6%,15.61,136.4万,34.9万
110,0.4%,0.5,0.2%,1413066,天降大任,上映5天,6885,1.9%,12.18,136.4万,34.9万
110,0.9%,0.9,0.1%,1320283,你的婚礼,,3074,0.8%,9.78,136.4万,34.9万
