日期,上座率,场均人次,票房占比,电影ID,电影名字,已上映天数,排片场次,排片占比,当日票房,当日总出票,当日总场次
512,5.1%,8.2,27.2%,1309779,猩球崛起：新世界,上映3天,98732,23.4%,3320.21,302.5万,42.1万
512,7.5%,8.9,24.3%,1446323,末路狂花钱,上映12天,82926,19.6%,2976.58,302.5万,42.1万
512,6.9%,8.4,20.6%,78645,九龙城寨之围城,上映12天,72650,17.2%,2520.14,302.5万,42.1万
512,4.9%,5.2,9.7%,1413549,维和防暴队,上映12天,55730,13.2%,1188.14,302.5万,42.1万
512,5.2%,5.1,7.3%,1488646,间谍过家家 代号：白,上映13天,45242,10.7%,898.45,302.5万,42.1万
512,7.9%,7.6,4.6%,225980,哈尔的移动城堡,上映13天,19081,4.5%,571.42,302.5万,42.1万
512,3.8%,3.7,1.3%,1495758,猪猪侠大电影·星际行动,上映12天,13476,3.1%,161.83,302.5万,42.1万
512,3.2%,2.7,0.7%,1489942,穿过月亮的旅行,上映12天,8476,2.0%,87.59,302.5万,42.1万
512,6.1%,5.9,0.6%,475180,功夫熊猫4,上映52天,3613,0.8%,82.97,302.5万,42.1万
512,5.2%,4.9,0.5%,1470629,哥斯拉大战金刚2：帝国崛起,上映45天,3645,0.8%,73.13,302.5万,42.1万
512,7.7%,7.1,0.5%,1500234,熊出没·逆转时空,上映93天,2381,0.5%,67.56,302.5万,42.1万
512,7.5%,6.6,0.4%,1198578,你想活出怎样的人生,上映40天,2196,0.5%,55.78,302.5万,42.1万
512,61.1%,97.3,0.2%,1489930,阿莫阿依,上映58天,72,<0.1%,33.56,302.5万,42.1万
512,2.5%,2.6,0.2%,1396308,魔幻奇缘之宝石公主,,3534,0.8%,29.62,302.5万,42.1万
512,1.4%,1.4,0.1%,1413629,泪光中的妈妈,上映2天,5074,1.2%,19.42,302.5万,42.1万
512,--,42.1,0.1%,1417411,暴风,,92,<0.1%,13.42,302.5万,42.1万
512,14.6%,14.3,<0.1%,1522256,我要当老师,上映25天,191,<0.1%,11.00,302.5万,42.1万
512,7.6%,6.5,<0.1%,1310520,年少日记,上映24天,324,<0.1%,8.61,302.5万,42.1万
512,54.2%,37.0,<0.1%,1356011,再见土拨鼠,上映24天,59,<0.1%,8.46,302.5万,42.1万
512,2.7%,2.1,<0.1%,1489410,没有一顿火锅解决不了的事,上映12天,680,0.1%,5.65,302.5万,42.1万
512,1.6%,1.8,<0.1%,1339006,妈妈和七天的时间,上映5天,728,0.1%,4.71,302.5万,42.1万
512,7.8%,7.0,<0.1%,1441786,沙丘2,上映66天,95,<0.1%,4.18,302.5万,42.1万
512,43.9%,48.8,<0.1%,1427883,因你而动,上映66天,34,<0.1%,4.16,302.5万,42.1万
512,69.8%,81.9,<0.1%,1366363,烟火人间,,16,<0.1%,4.12,302.5万,42.1万
512,--,173.2,<0.1%,1282399,苍穹,展映,5,<0.1%,3.46,302.5万,42.1万
512,9.5%,8.0,<0.1%,1448919,坠落的审判,上映45天,89,<0.1%,3.38,302.5万,42.1万
512,13.4%,12.8,<0.1%,1431973,朱同在三年级丢失了超能力,点映,60,<0.1%,3.06,302.5万,42.1万
512,--,83.3,<0.1%,1458881,陨石江湖：天降20亿,上映31天,12,<0.1%,3.00,302.5万,42.1万
512,--,89.8,<0.1%,1414027,八百矿工上井冈,,13,<0.1%,2.97,302.5万,42.1万
512,1.7%,1.6,<0.1%,1250661,消失的木偶,上映24天,566,0.1%,2.88,302.5万,42.1万
512,4.2%,3.4,<0.1%,1487151,我们一起摇太阳,上映44天,183,<0.1%,2.55,302.5万,42.1万
512,--,244.0,<0.1%,1374577,特技狂人,点映,2,<0.1%,2.42,302.5万,42.1万
512,18.2%,18.6,<0.1%,1374909,乘船而去,上映31天,20,<0.1%,1.93,302.5万,42.1万
