日期,上座率,场均人次,票房占比,电影ID,电影名字,已上映天数,排片场次,排片占比,当日票房,当日总出票,当日总场次
126,3.6%,5.6,36.7%,1458876,年会不能停！,上映29天,93422,24.0%,2005.00,142.8万,38.9万
126,2.5%,3.4,18.5%,1432500,临时劫案,上映8天,79520,20.4%,1012.60,142.8万,38.9万
126,3.5%,4.2,11.3%,1331905,金手指,上映28天,37824,9.7%,615.95,142.8万,38.9万
126,2.8%,3.5,5.9%,1442365,养蜂人,上映15天,22773,5.8%,322.89,142.8万,38.9万
126,2.5%,2.8,4.8%,1439164,动物园里有什么？,上映15天,25789,6.6%,264.60,142.8万,38.9万
126,3.4%,3.6,3.8%,1385865,三大队,上映43天,14162,3.6%,211.50,142.8万,38.9万
126,3.2%,4.3,3.4%,1260081,海王2：失落的王国,上映38天,11591,2.9%,186.57,142.8万,38.9万
126,2.5%,2.6,3.1%,1207114,潜行,上映29天,17131,4.4%,169.02,142.8万,38.9万
126,2.0%,1.9,1.5%,1500903,开心超人之时空营救,上映7天,13526,3.4%,85.04,142.8万,38.9万
126,2.1%,2.1,1.4%,1461561,一闪一闪亮星星,上映28天,10638,2.7%,79.75,142.8万,38.9万
126,4.0%,4.0,1.1%,1482315,名侦探柯南：黑铁的鱼影,上映42天,4831,1.2%,61.66,142.8万,38.9万
126,2.7%,2.8,1.1%,1431800,舒克贝塔·五角飞碟,上映28天,6039,1.5%,61.43,142.8万,38.9万
126,2.9%,2.6,0.8%,1463744,非诚勿扰3,上映28天,4362,1.1%,45.63,142.8万,38.9万
126,2.1%,4.2,0.8%,1504098,泰勒·斯威夫特：时代巡回演唱会,上映27天,2325,0.5%,44.77,142.8万,38.9万
126,3.0%,2.9,0.6%,1479147,照明商店,上映50天,3058,0.7%,34.54,142.8万,38.9万
126,1.2%,1.1,0.5%,1458940,江豚·风时舞,上映7天,6858,1.7%,29.39,142.8万,38.9万
126,1.6%,1.5,0.4%,1376729,大雨,上映15天,4022,1.0%,24.03,142.8万,38.9万
126,50.7%,46.2,0.4%,1482089,我本是高山,上映64天,126,<0.1%,23.40,142.8万,38.9万
126,0.5%,0.5,0.3%,1426009,世界欠我一个你,上映首日,10433,2.6%,19.24,142.8万,38.9万
126,0.5%,0.5,0.2%,1328895,花千骨,上映7天,6699,1.7%,13.48,142.8万,38.9万
126,22.5%,26.3,0.2%,1509537,人民万岁,上映32天,123,<0.1%,11.41,142.8万,38.9万
126,5.0%,4.8,0.1%,1218085,旺卡,上映50天,567,0.1%,10.61,142.8万,38.9万
126,2.1%,2.0,0.1%,1413066,天降大任,上映21天,1512,0.3%,10.60,142.8万,38.9万
126,3.4%,3.3,0.1%,338436,爱乐之城,,670,0.1%,8.92,142.8万,38.9万
126,12.6%,36.0,0.1%,1487331,金色面具英雄,上映29天,39,<0.1%,6.78,142.8万,38.9万
126,2.4%,2.3,0.1%,1490806,蜡笔小新：新次元！超能力大决战,上映63天,945,0.2%,6.13,142.8万,38.9万
126,1.2%,1.5,0.1%,1387181,悬崖下72小时,上映首日,1353,0.3%,5.80,142.8万,38.9万
126,38.2%,31.8,0.1%,1462645,孤军,上映30天,60,<0.1%,5.48,142.8万,38.9万
126,85.7%,78.7,<0.1%,1445662,堡垒,,27,<0.1%,5.31,142.8万,38.9万
126,47.1%,27.8,<0.1%,1300093,吾爱敦煌,上映71天,47,<0.1%,4.58,142.8万,38.9万
126,3.9%,3.5,<0.1%,1459756,狗神,上映43天,316,<0.1%,4.34,142.8万,38.9万
126,5.1%,91.3,<0.1%,1414027,八百矿工上井冈,,19,<0.1%,4.33,142.8万,38.9万
126,0.7%,1.3,<0.1%,1320785,小行星猎人,上映15天,816,0.2%,4.11,142.8万,38.9万
126,23.4%,33.1,<0.1%,1423992,零度极限,,41,<0.1%,3.49,142.8万,38.9万
126,--,169.0,<0.1%,1282399,苍穹,展映,5,<0.1%,3.38,142.8万,38.9万
126,0.4%,0.6,<0.1%,1433654,还是觉得你最好,,1627,0.4%,3.22,142.8万,38.9万
126,11.1%,11.5,<0.1%,1366363,烟火人间,上映14天,98,<0.1%,3.17,142.8万,38.9万
126,3.1%,3.0,<0.1%,1493351,飞鸭向前冲,上映50天,340,<0.1%,3.12,142.8万,38.9万
126,14.0%,14.5,<0.1%,1431886,志愿军：雄兵出击,,51,<0.1%,2.86,142.8万,38.9万
126,1.8%,1.7,<0.1%,1451694,再见，李可乐,上映57天,339,<0.1%,2.24,142.8万,38.9万
126,0.6%,1.6,<0.1%,1398529,家有儿女之神犬当家,上映7天,404,0.1%,2.22,142.8万,38.9万
126,20.1%,35.8,<0.1%,1437173,绝地重生,,18,<0.1%,2.07,142.8万,38.9万
126,10.8%,19.6,<0.1%,1470659,少年的我,上映首日,44,<0.1%,1.87,142.8万,38.9万
126,1.2%,1.1,<0.1%,1320283,你的婚礼,,405,0.1%,1.62,142.8万,38.9万
126,2.2%,2.4,<0.1%,1457792,汪汪队立大功大电影2：超能大冒险,,192,<0.1%,1.41,142.8万,38.9万
126,0.7%,1.3,<0.1%,1517373,最近的远方,上映首日,203,<0.1%,1.10,142.8万,38.9万
126,0.9%,0.9,<0.1%,1441467,怒潮,上映42天,291,<0.1%,1.02,142.8万,38.9万
126,35.7%,39.3,<0.1%,1290365,形意英雄,上映15天,10,<0.1%,1.00,142.8万,38.9万
126,--,3.0,<0.1%,1229786,秋田,上映2天,94,<0.1%,0.96,142.8万,38.9万
126,1.5%,2.0,<0.1%,1356108,回西藏,上映16天,108,<0.1%,0.87,142.8万,38.9万
126,6.4%,7.1,<0.1%,1372970,破冰少年,上映9天,33,<0.1%,0.87,142.8万,38.9万
126,5.9%,5.5,<0.1%,1414041,汉文皇后（戏曲 越剧）,上映40天,40,<0.1%,0.84,142.8万,38.9万
126,75.8%,56.3,<0.1%,1340449,单声,,3,<0.1%,0.84,142.8万,38.9万
126,1.6%,1.3,<0.1%,1366178,夜幕将至,上映15天,155,<0.1%,0.77,142.8万,38.9万
