日期,上座率,场均人次,票房占比,电影ID,电影名字,已上映天数,排片场次,排片占比,当日票房,当日总出票,当日总场次
201,2.6%,4.0,35.6%,1458876,年会不能停！,上映35天,94444,25.1%,1432.27,105.6万,37.5万
201,1.7%,2.2,14.9%,1432500,临时劫案,上映14天,70605,18.8%,601.92,105.6万,37.5万
201,3.3%,3.7,13.6%,1331905,金手指,上映34天,38051,10.1%,549.90,105.6万,37.5万
201,1.9%,2.0,4.9%,1439164,动物园里有什么？,上映21天,27290,7.2%,198.32,105.6万,37.5万
201,2.7%,3.4,4.6%,1260081,海王2：失落的王国,上映44天,14539,3.8%,187.48,105.6万,37.5万
201,1.7%,2.0,4.6%,1442365,养蜂人,上映21天,23031,6.1%,186.97,105.6万,37.5万
201,2.7%,2.8,4.5%,1385865,三大队,上映49天,16051,4.2%,184.52,105.6万,37.5万
201,2.1%,2.0,3.2%,1207114,潜行,上映35天,16955,4.5%,131.49,105.6万,37.5万
201,1.7%,1.7,1.9%,1500903,开心超人之时空营救,上映13天,13881,3.7%,78.41,105.6万,37.5万
201,3.3%,3.3,1.7%,1482315,名侦探柯南：黑铁的鱼影,上映48天,6665,1.7%,69.40,105.6万,37.5万
201,1.8%,1.8,1.6%,1461561,一闪一闪亮星星,上映34天,10794,2.8%,68.01,105.6万,37.5万
201,2.4%,2.3,1.4%,1431800,舒克贝塔·五角飞碟,上映34天,6783,1.8%,56.77,105.6万,37.5万
201,100.0%,56.6,0.9%,1462645,孤军,上映36天,173,<0.1%,38.33,105.6万,37.5万
201,2.5%,2.3,0.8%,1479147,照明商店,上映56天,3820,1.0%,35.25,105.6万,37.5万
201,1.7%,3.2,0.7%,1504098,泰勒·斯威夫特：时代巡回演唱会,上映33天,2141,0.5%,30.23,105.6万,37.5万
201,2.3%,1.9,0.6%,1463744,非诚勿扰3,上映34天,3573,0.9%,26.60,105.6万,37.5万
201,54.5%,49.1,0.6%,1482089,我本是高山,上映70天,130,<0.1%,25.53,105.6万,37.5万
201,1.1%,1.1,0.4%,1376729,大雨,上映21天,4027,1.0%,16.95,105.6万,37.5万
201,2.0%,1.8,0.3%,1413066,天降大任,上映27天,1974,0.5%,12.73,105.6万,37.5万
201,2.4%,2.4,0.2%,1490806,蜡笔小新：新次元！超能力大决战,上映69天,1576,0.4%,11.16,105.6万,37.5万
201,0.6%,0.6,0.2%,1458940,江豚·风时舞,上映13天,5140,1.3%,10.67,105.6万,37.5万
201,3.1%,3.2,0.2%,1218085,旺卡,上映56天,745,0.1%,8.94,105.6万,37.5万
201,2.5%,2.3,0.1%,338436,爱乐之城,,749,0.1%,6.83,105.6万,37.5万
201,0.4%,0.4,0.1%,1328895,花千骨,上映13天,3942,1.0%,6.49,105.6万,37.5万
201,0.7%,59.6,0.1%,1431886,志愿军：雄兵出击,,25,<0.1%,5.22,105.6万,37.5万
201,2.4%,2.4,<0.1%,1459756,狗神,上映49天,398,0.1%,3.52,105.6万,37.5万
201,--,175.0,<0.1%,1282399,苍穹,展映,5,<0.1%,3.50,105.6万,37.5万
201,2.2%,2.1,<0.1%,1493351,飞鸭向前冲,上映56天,475,0.1%,3.32,105.6万,37.5万
201,0.6%,1.2,<0.1%,1320785,小行星猎人,上映21天,560,0.1%,2.81,105.6万,37.5万
201,--,4.3,<0.1%,1229786,秋田,上映8天,155,<0.1%,2.31,105.6万,37.5万
201,84.8%,79.3,<0.1%,1515688,战歌行,上映29天,11,<0.1%,2.19,105.6万,37.5万
201,0.3%,0.3,<0.1%,1426009,世界欠我一个你,上映7天,1973,0.5%,2.06,105.6万,37.5万
201,4.9%,8.2,<0.1%,1431946,双山阻击战,上映7天,68,<0.1%,1.70,105.6万,37.5万
201,--,37.3,<0.1%,1445662,堡垒,,16,<0.1%,1.49,105.6万,37.5万
201,0.5%,0.6,<0.1%,1461260,森巴幸福岛之我要回家,上映6天,796,0.2%,1.45,105.6万,37.5万
201,0.8%,0.8,<0.1%,1433654,还是觉得你最好,,571,0.1%,1.37,105.6万,37.5万
