日期,上座率,场均人次,票房占比,电影ID,电影名字,已上映天数,排片场次,排片占比,当日票房,当日总出票,当日总场次
518,8.4%,10.7,18.0%,1446323,末路狂花钱,上映18天,47136,10.0%,2013.60,274.6万,46.7万
518,3.3%,4.6,16.6%,1334237,彷徨之刃,上映2天,97820,20.9%,1857.26,274.6万,46.7万
518,7.3%,10.2,15.4%,78645,九龙城寨之围城,上映18天,40672,8.7%,1721.07,274.6万,46.7万
518,7.6%,12.7,15.1%,1309779,猩球崛起：新世界,上映9天,31939,6.8%,1694.85,274.6万,46.7万
518,1.9%,2.0,5.1%,1405602,朝云暮雨,上映2天,69063,14.7%,572.04,274.6万,46.7万
518,6.8%,7.0,4.1%,1413549,维和防暴队,上映18天,16083,3.4%,467.55,274.6万,46.7万
518,7.6%,8.6,3.8%,1491249,错过你的那些年,点映,13457,2.8%,433.02,274.6万,46.7万
518,9.8%,10.0,3.7%,1488646,间谍过家家 代号：白,上映19天,11043,2.3%,423.93,274.6万,46.7万
518,3.3%,3.5,3.2%,1461557,今夜，就算这份爱恋从世界上消失,上映首日,26293,5.6%,357.63,274.6万,46.7万
518,6.5%,6.5,2.6%,1495758,猪猪侠大电影·星际行动,上映18天,11912,2.5%,292.26,274.6万,46.7万
518,11.1%,11.0,2.3%,225980,哈尔的移动城堡,上映19天,6091,1.3%,266.91,274.6万,46.7万
518,2.7%,4.0,1.7%,1374577,特技狂人,上映2天,10182,2.1%,194.27,274.6万,46.7万
518,1.7%,1.7,1.3%,1466394,四月女友,上映首日,22843,4.8%,154.04,274.6万,46.7万
518,0.8%,0.8,1.1%,1490986,你就在我身边,上映2天,43305,9.2%,129.70,274.6万,46.7万
518,8.0%,7.6,0.6%,475180,功夫熊猫4,上映58天,2531,0.5%,73.82,274.6万,46.7万
518,56.9%,94.5,0.5%,1489930,阿莫阿依,上映64天,116,<0.1%,59.63,274.6万,46.7万
518,7.6%,7.1,0.4%,1500234,熊出没·逆转时空,上映99天,1937,0.4%,53.35,274.6万,46.7万
518,7.9%,8.1,0.4%,1470629,哥斯拉大战金刚2：帝国崛起,上映51天,1522,0.3%,48.34,274.6万,46.7万
518,2.9%,2.6,0.3%,1518388,替身纸人2,上映首日,5246,1.1%,43.32,274.6万,46.7万
518,11.6%,9.7,0.3%,1461216,红色冲浪板,上映2天,1030,0.2%,40.14,274.6万,46.7万
518,87.5%,70.2,0.3%,1478828,你是我的英雄,点映,108,<0.1%,36.13,274.6万,46.7万
518,82.3%,99.1,0.2%,1511969,周立波回清溪,上映4天,84,<0.1%,33.05,274.6万,46.7万
518,68.2%,147.4,0.2%,1352371,雪域少年,,42,<0.1%,30.96,274.6万,46.7万
518,9.5%,9.0,0.2%,1198578,你想活出怎样的人生,上映46天,763,0.1%,26.05,274.6万,46.7万
518,4.5%,3.3,0.1%,1489942,穿过月亮的旅行,上映18天,1036,0.2%,13.08,274.6万,46.7万
518,39.6%,45.5,<0.1%,1437173,绝地重生,上映66天,53,<0.1%,11.05,274.6万,46.7万
518,11.7%,13.9,<0.1%,1431973,朱同在三年级丢失了超能力,点映,120,<0.1%,7.60,274.6万,46.7万
518,54.6%,80.3,<0.1%,1515431,寻秘自然：地球往事,,22,<0.1%,6.39,274.6万,46.7万
518,11.1%,95.2,<0.1%,1458881,陨石江湖：天降20亿,上映37天,21,<0.1%,5.50,274.6万,46.7万
518,2.1%,2.1,<0.1%,1396308,魔幻奇缘之宝石公主,,747,0.1%,4.82,274.6万,46.7万
518,34.8%,27.4,<0.1%,1522256,我要当老师,上映31天,39,<0.1%,4.81,274.6万,46.7万
518,10.1%,29.6,<0.1%,1356011,再见土拨鼠,上映30天,45,<0.1%,4.41,274.6万,46.7万
518,36.7%,65.6,<0.1%,1427883,因你而动,上映72天,24,<0.1%,3.93,274.6万,46.7万
518,24.6%,88.4,<0.1%,1414027,八百矿工上井冈,,16,<0.1%,3.83,274.6万,46.7万
518,--,31.6,<0.1%,1417411,暴风,,33,<0.1%,3.78,274.6万,46.7万
518,1.7%,1.7,<0.1%,1427828,不能错过的只有你,,518,0.1%,3.40,274.6万,46.7万
518,--,164.0,<0.1%,1282399,苍穹,展映,5,<0.1%,3.28,274.6万,46.7万
518,67.1%,88.0,<0.1%,1512418,美好人间,,13,<0.1%,3.09,274.6万,46.7万
518,8.1%,11.6,<0.1%,1441786,沙丘2,上映72天,49,<0.1%,2.97,274.6万,46.7万
518,46.3%,90.9,<0.1%,1515447,寻秘自然：无形之力,,9,<0.1%,2.54,274.6万,46.7万
518,10.2%,19.2,<0.1%,1419044,屋顶足球,上映29天,46,<0.1%,2.53,274.6万,46.7万
518,7.9%,6.9,<0.1%,1310520,年少日记,上映30天,92,<0.1%,2.46,274.6万,46.7万
518,11.6%,10.6,<0.1%,1413629,泪光中的妈妈,上映8天,95,<0.1%,2.38,274.6万,46.7万
518,90.7%,101.8,<0.1%,1464381,再会长江,点映,5,<0.1%,2.11,274.6万,46.7万
518,56.1%,40.2,<0.1%,1435017,李夏·在路上,上映79天,10,<0.1%,1.86,274.6万,46.7万
518,52.5%,122.0,<0.1%,1242224,气·球,,2,<0.1%,1.61,274.6万,46.7万
518,6.2%,8.2,<0.1%,1462637,雪豹,上映46天,53,<0.1%,1.59,274.6万,46.7万
518,4.6%,76.0,<0.1%,1522020,幸福慢车,上映40天,5,<0.1%,1.33,274.6万,46.7万
518,0.2%,0.4,<0.1%,1491251,一路向南,上映2天,1099,0.2%,1.32,274.6万,46.7万
518,4.3%,15.6,<0.1%,1521582,我，就是风!,点映,23,<0.1%,1.31,274.6万,46.7万
518,46.7%,48.2,<0.1%,1398070,我不是天才,上映8天,12,<0.1%,1.29,274.6万,46.7万
518,5.9%,9.3,<0.1%,1339006,妈妈和七天的时间,上映11天,31,<0.1%,1.20,274.6万,46.7万
518,66.4%,75.0,<0.1%,1431842,浙南儿女英雄传之热血长虹,,4,<0.1%,1.05,274.6万,46.7万
518,--,8.1,<0.1%,1413665,云淡风轻,上映23天,31,<0.1%,0.95,274.6万,46.7万
518,0.1%,0.8,<0.1%,1434993,云雾女孩,上映2天,401,<0.1%,0.93,274.6万,46.7万
518,8.6%,7.5,<0.1%,1448919,坠落的审判,上映51天,27,<0.1%,0.92,274.6万,46.7万
518,10.3%,38.6,<0.1%,1164582,沙丘,,5,<0.1%,0.91,274.6万,46.7万
518,55.0%,78.3,<0.1%,1366363,烟火人间,,4,<0.1%,0.85,274.6万,46.7万
518,78.0%,143.0,<0.1%,78282,静静的嘛呢石,,1,<0.1%,0.84,274.6万,46.7万
518,61.3%,133.5,<0.1%,1446306,最后的，最初的,点映,2,<0.1%,0.83,274.6万,46.7万
518,87.6%,113.0,<0.1%,337708,塔洛,,1,<0.1%,0.83,274.6万,46.7万
518,53.2%,181.0,<0.1%,1516739,北极荒原,展映,1,<0.1%,0.77,274.6万,46.7万
518,4.6%,4.2,<0.1%,1487151,我们一起摇太阳,上映50天,44,<0.1%,0.76,274.6万,46.7万
518,39.7%,131.0,<0.1%,531370,加拉帕戈斯：自然的仙境,展映,1,<0.1%,0.56,274.6万,46.7万
518,11.7%,14.8,<0.1%,1374909,乘船而去,上映37天,12,<0.1%,0.51,274.6万,46.7万
518,--,22.8,<0.1%,1351778,爱在陇南,上映31天,6,<0.1%,0.50,274.6万,46.7万
518,1.9%,1.2,<0.1%,1489410,没有一顿火锅解决不了的事,上映18天,107,<0.1%,0.49,274.6万,46.7万
518,--,158.0,<0.1%,1355362,我们的七月,,1,<0.1%,0.47,274.6万,46.7万
518,32.3%,109.0,<0.1%,1221853,探寻外太空生命,展映,1,<0.1%,0.46,274.6万,46.7万
518,1.3%,29.7,<0.1%,1504186,中国车手周冠宇,上映30天,3,<0.1%,0.43,274.6万,46.7万
518,1.8%,1.8,<0.1%,1250661,消失的木偶,上映30天,71,<0.1%,0.42,274.6万,46.7万
518,2.3%,2.1,<0.1%,1487901,冰雪女王5：融冰之战,上映45天,59,<0.1%,0.40,274.6万,46.7万
518,1.0%,0.9,<0.1%,58747,数码宝贝02：最初的召唤,上映29天,94,<0.1%,0.29,274.6万,46.7万
518,4.9%,3.2,<0.1%,1488960,周处除三害,上映79天,25,<0.1%,0.28,274.6万,46.7万
518,60.8%,51.5,<0.1%,1504240,出发,,2,<0.1%,0.25,274.6万,46.7万
518,6.8%,5.9,<0.1%,1490406,金的音像店,上映30天,8,<0.1%,0.22,274.6万,46.7万
518,7.0%,4.6,<0.1%,1446251,午夜怪谈,上映45天,14,<0.1%,0.21,274.6万,46.7万
518,--,85.0,<0.1%,1340449,单声,,1,<0.1%,0.21,274.6万,46.7万
518,17.5%,7.4,<0.1%,1228,天空之城,,9,<0.1%,0.20,274.6万,46.7万
518,--,9.3,<0.1%,672203,超级的我,,8,<0.1%,0.18,274.6万,46.7万
518,12.6%,42.0,<0.1%,64572,长江,,1,<0.1%,0.18,274.6万,46.7万
518,--,43.5,<0.1%,1499403,余下都是春天,,2,<0.1%,0.17,274.6万,46.7万
518,--,27.0,<0.1%,1397232,少年先锋,,2,<0.1%,0.16,274.6万,46.7万
518,20.6%,50.0,<0.1%,1418965,玩转门神,,1,<0.1%,0.15,274.6万,46.7万
518,33.3%,27.5,<0.1%,1487818,烽火塘田,,2,<0.1%,0.13,274.6万,46.7万
518,--,50.0,<0.1%,1445662,堡垒,上映58天,1,<0.1%,0.12,274.6万,46.7万
518,23.7%,22.0,<0.1%,1431946,双山阻击战,,1,<0.1%,0.09,274.6万,46.7万
518,1.2%,1.0,<0.1%,1355225,睿王与庄妃,上映2天,30,<0.1%,0.09,274.6万,46.7万
518,28.4%,35.0,<0.1%,1282839,冰下的鱼,点映,1,<0.1%,0.08,274.6万,46.7万
518,14.8%,42.0,<0.1%,1461197,带彩球的帐篷,点映,1,<0.1%,0.08,274.6万,46.7万
518,3.0%,0.5,<0.1%,1397016,人生大事,,42,<0.1%,0.08,274.6万,46.7万
518,0.1%,0.3,<0.1%,1413045,白于山之歌,上映2天,43,<0.1%,0.06,274.6万,46.7万
518,2.3%,2.3,<0.1%,1483129,白日之下,上映37天,6,<0.1%,0.05,274.6万,46.7万
518,--,2.5,<0.1%,1244,红猪,,4,<0.1%,0.04,274.6万,46.7万
518,5.5%,2.3,<0.1%,1435032,碧血黎明,上映8天,3,<0.1%,0.02,274.6万,46.7万
518,0.0%,0.1,<0.1%,1434565,末路迷途,上映4天,55,<0.1%,0.01,274.6万,46.7万
518,0.4%,0.3,<0.1%,1370725,草木人间,上映46天,15,<0.1%,0.01,274.6万,46.7万
518,0.7%,0.8,<0.1%,1298240,黄雀在后！,上映46天,6,<0.1%,0.01,274.6万,46.7万
518,1.0%,0.3,<0.1%,1519724,重山之外,上映29天,6,<0.1%,0.01,274.6万,46.7万
518,--,0.5,<0.1%,1383307,奇迹·笨小孩,,11,<0.1%,0.01,274.6万,46.7万
518,2.0%,1.0,<0.1%,1491079,替身纸人,,4,<0.1%,0.01,274.6万,46.7万
518,0.8%,0.4,<0.1%,1491083,大“反”派,上映45天,9,<0.1%,0.01,274.6万,46.7万
518,0.5%,0.6,<0.1%,1524534,金剑行动,上映首日,5,<0.1%,0.01,274.6万,46.7万
518,1.7%,0.7,<0.1%,1515588,古堡守灵人,上映65天,7,<0.1%,0.01,274.6万,46.7万
518,0.8%,1.0,<0.1%,1205582,今夜在浪漫剧场,,2,<0.1%,0.00,274.6万,46.7万
518,2.1%,2.0,<0.1%,1413066,天降大任,,1,<0.1%,0.00,274.6万,46.7万
518,1.0%,1.0,<0.1%,342288,抗战中的文艺（舞台纪录电影·话剧）,上映30天,2,<0.1%,0.00,274.6万,46.7万
518,1.2%,0.5,<0.1%,1482315,名侦探柯南：黑铁的鱼影,,2,<0.1%,0.00,274.6万,46.7万
518,--,0.0,<0.1%,345963,阿里巴巴2所罗门封印,,1,<0.1%,0,274.6万,46.7万
518,--,0.0,<0.1%,1375624,潜艇总动员：地心游记,,7,<0.1%,0,274.6万,46.7万
518,--,0.0,<0.1%,1298450,蜘蛛侠：纵横宇宙,,1,<0.1%,0,274.6万,46.7万
518,--,0.0,<0.1%,1355429,疯狂丑小鸭2靠谱英雄,,2,<0.1%,0,274.6万,46.7万
518,--,0.0,<0.1%,1490806,蜡笔小新：新次元！超能力大决战,,1,<0.1%,0,274.6万,46.7万
518,--,0.0,<0.1%,1413896,潜艇总动员：环游地球80天,,4,<0.1%,0,274.6万,46.7万
518,--,0.0,<0.1%,1319075,守岛人,,1,<0.1%,0,274.6万,46.7万
518,--,0.0,<0.1%,1295309,疯狂梦幻城,,4,<0.1%,0,274.6万,46.7万
518,--,0.0,<0.1%,1299144,阿里巴巴与神灯,,1,<0.1%,0,274.6万,46.7万
518,--,0.0,<0.1%,1446250,巧虎奇幻舞台历险记,,4,<0.1%,0,274.6万,46.7万
518,--,0.0,<0.1%,525889,孤注一掷,,1,<0.1%,0,274.6万,46.7万
518,--,0.0,<0.1%,1387181,悬崖下72小时,,1,<0.1%,0,274.6万,46.7万
518,--,0.0,<0.1%,344990,唐人街探案2,,1,<0.1%,0,274.6万,46.7万
518,--,0.0,<0.1%,1229702,青蛙王子历险记,,1,<0.1%,0,274.6万,46.7万
518,--,0.0,<0.1%,359377,罗小黑战记,,3,<0.1%,0,274.6万,46.7万
518,--,0.0,<0.1%,1431907,茶啊二中,,4,<0.1%,0,274.6万,46.7万
518,--,0.0,<0.1%,1495728,飞驰人生2,上映99天,1,<0.1%,0,274.6万,46.7万
518,--,0.0,<0.1%,1486816,生命底色,,1,<0.1%,0,274.6万,46.7万
518,--,0.0,<0.1%,1475137,长安三万里,,3,<0.1%,0,274.6万,46.7万
