日期,上座率,场均人次,票房占比,电影ID,电影名字,已上映天数,排片场次,排片占比,当日票房,当日总出票,当日总场次
327,1.6%,2.1,22.2%,1488960,周处除三害,上映27天,65755,19.2%,527.67,58.2万,34.2万
327,1.0%,1.5,20.2%,475180,功夫熊猫4,上映6天,80901,23.6%,478.62,58.2万,34.2万
327,1.2%,1.9,11.5%,1441786,沙丘2,上映20天,30380,8.8%,272.97,58.2万,34.2万
327,2.8%,3.2,10.6%,1487151,我们一起摇太阳,点映,18812,5.5%,252.91,58.2万,34.2万
327,1.1%,1.2,6.9%,1448767,灿烂的她,上映13天,36056,10.5%,163.97,58.2万,34.2万
327,1.5%,1.6,6.6%,1489349,第二十条,上映47天,23570,6.8%,157.44,58.2万,34.2万
327,1.1%,1.2,6.6%,1451499,被我弄丢的你,上映20天,32654,9.5%,156.43,58.2万,34.2万
327,1.4%,1.5,5.6%,1495728,飞驰人生2,上映47天,20624,6.0%,133.23,58.2万,34.2万
327,5.0%,5.7,2.6%,1448919,坠落的审判,点映,2708,0.7%,61.88,58.2万,34.2万
327,0.9%,0.9,1.4%,1478901,热辣滚烫,上映47天,9918,2.9%,35.48,58.2万,34.2万
327,84.9%,112.3,1.4%,1462645,孤军,上映91天,80,<0.1%,34.12,58.2万,34.2万
327,17.0%,13.8,0.8%,1437173,绝地重生,上映14天,405,0.1%,19.17,58.2万,34.2万
327,0.7%,0.6,0.5%,1432006,红毯先生,上映13天,4986,1.4%,12.48,58.2万,34.2万
327,0.5%,0.6,0.4%,1500234,熊出没·逆转时空,上映47天,5274,1.5%,11.67,58.2万,34.2万
327,70.1%,107.7,0.2%,1414027,八百矿工上井冈,,19,<0.1%,5.60,58.2万,34.2万
327,0.6%,0.7,0.2%,1442386,挑战,上映13天,1899,0.5%,5.00,58.2万,34.2万
327,1.1%,1.1,0.1%,1511023,午夜6号房,上映27天,1267,0.3%,4.61,58.2万,34.2万
327,0.6%,0.9,0.1%,1445662,堡垒,上映6天,1227,0.3%,4.25,58.2万,34.2万
327,1.0%,1.0,0.1%,1515588,古堡守灵人,上映13天,1157,0.3%,3.42,58.2万,34.2万
327,2.3%,7.7,0.1%,1443924,奥本海默,,45,<0.1%,3.34,58.2万,34.2万
327,--,156.4,0.1%,1282399,苍穹,展映,5,<0.1%,3.12,58.2万,34.2万
327,0.1%,0.5,0.1%,1423883,国鼎魂（戏曲 苏剧）,上映3天,1679,0.4%,2.47,58.2万,34.2万
327,0.4%,18.3,<0.1%,1519246,大话情圣,上映20天,35,<0.1%,2.17,58.2万,34.2万
327,3.5%,8.4,<0.1%,1489930,阿莫阿依,上映12天,82,<0.1%,2.10,58.2万,34.2万
327,--,88.3,<0.1%,1385790,望道,,3,<0.1%,1.97,58.2万,34.2万
327,--,12.4,<0.1%,1475199,家园梦想,,32,<0.1%,1.75,58.2万,34.2万
327,43.5%,71.7,<0.1%,1491012,银河写手,点映,7,<0.1%,1.69,58.2万,34.2万
327,--,44.2,<0.1%,1355362,我们的七月,上映100天,11,<0.1%,1.45,58.2万,34.2万
327,--,94.5,<0.1%,1263778,毛泽东在才溪,,4,<0.1%,0.75,58.2万,34.2万
327,68.5%,29.0,<0.1%,1431842,浙南儿女英雄传之热血长虹,上映63天,5,<0.1%,0.50,58.2万,34.2万
327,0.6%,0.5,<0.1%,1460981,追月,上映20天,195,<0.1%,0.42,58.2万,34.2万
327,0.2%,0.3,<0.1%,1449034,生死赛车,上映12天,357,0.1%,0.40,58.2万,34.2万
327,72.2%,24.1,<0.1%,1414999,一山之隔,,8,<0.1%,0.38,58.2万,34.2万
327,--,2.9,<0.1%,1229786,秋田,上映63天,33,<0.1%,0.36,58.2万,34.2万
327,0.5%,0.5,<0.1%,1299938,蜘蛛夫人：超感觉醒,上映27天,160,<0.1%,0.32,58.2万,34.2万
327,0.3%,0.3,<0.1%,1497948,戏杀,上映26天,258,<0.1%,0.27,58.2万,34.2万
327,15.2%,52.0,<0.1%,1516739,北极荒原,展映,1,<0.1%,0.22,58.2万,34.2万
327,--,28.0,<0.1%,1340449,单声,,2,<0.1%,0.16,58.2万,34.2万
327,--,35.5,<0.1%,1435017,李夏·在路上,上映27天,2,<0.1%,0.14,58.2万,34.2万
327,0.1%,0.1,<0.1%,1499749,高中的我们,上映6天,316,<0.1%,0.13,58.2万,34.2万
327,0.1%,0.2,<0.1%,1427961,寻找消失的恋人,上映6天,231,<0.1%,0.12,58.2万,34.2万
327,4.9%,3.8,<0.1%,1520211,贞胜,上映6天,8,<0.1%,0.12,58.2万,34.2万
327,--,20.0,<0.1%,1459208,边疆军魂,,3,<0.1%,0.12,58.2万,34.2万
327,--,41.0,<0.1%,1351757,爸爸，我懂你了,,1,<0.1%,0.10,58.2万,34.2万
327,73.5%,50.0,<0.1%,1418965,玩转门神,上映83天,1,<0.1%,0.10,58.2万,34.2万
327,32.5%,40.0,<0.1%,1462635,秦淮河边一间房,上映70天,1,<0.1%,0.10,58.2万,34.2万
327,--,30.0,<0.1%,1431946,双山阻击战,上映62天,1,<0.1%,0.09,58.2万,34.2万
327,1.3%,1.5,<0.1%,1427883,因你而动,上映20天,22,<0.1%,0.08,58.2万,34.2万
327,13.9%,10.0,<0.1%,1458940,江豚·风时舞,上映68天,2,<0.1%,0.07,58.2万,34.2万
327,--,0.9,<0.1%,301457,周处除三害,,15,<0.1%,0.05,58.2万,34.2万
327,0.3%,0.2,<0.1%,1413802,陌路狂刀,上映26天,78,<0.1%,0.05,58.2万,34.2万
327,--,18.0,<0.1%,1502628,守护者,上映92天,1,<0.1%,0.05,58.2万,34.2万
327,--,7.5,<0.1%,1362705,爱的重叠,上映76天,2,<0.1%,0.05,58.2万,34.2万
327,0.1%,0.3,<0.1%,1262729,冒牌特工,上映19天,55,<0.1%,0.04,58.2万,34.2万
327,0.4%,0.5,<0.1%,1443049,孔秀,上映20天,24,<0.1%,0.04,58.2万,34.2万
327,0.2%,0.3,<0.1%,1458876,年会不能停！,上映90天,40,<0.1%,0.04,58.2万,34.2万
327,1.6%,1.0,<0.1%,1459756,狗神,,11,<0.1%,0.03,58.2万,34.2万
327,1.8%,1.3,<0.1%,1331905,金手指,上映89天,6,<0.1%,0.03,58.2万,34.2万
327,--,1.4,<0.1%,672203,超级的我,,8,<0.1%,0.03,58.2万,34.2万
327,0.3%,0.3,<0.1%,1413629,泪光中的妈妈,,45,<0.1%,0.03,58.2万,34.2万
327,--,25.0,<0.1%,206,党的女儿,,1,<0.1%,0.02,58.2万,34.2万
327,1.1%,0.2,<0.1%,1228,天空之城,,21,<0.1%,0.02,58.2万,34.2万
327,0.2%,0.3,<0.1%,1299991,临时家族,上映5天,30,<0.1%,0.02,58.2万,34.2万
327,10.5%,14.0,<0.1%,65707,洛神,,1,<0.1%,0.02,58.2万,34.2万
327,15.8%,16.0,<0.1%,55380,老兵新传,,1,<0.1%,0.01,58.2万,34.2万
327,0.2%,0.3,<0.1%,1320785,小行星猎人,上映76天,18,<0.1%,0.01,58.2万,34.2万
327,0.1%,0.1,<0.1%,1336423,青檀,上映6天,35,<0.1%,0.01,58.2万,34.2万
327,0.1%,0.1,<0.1%,1431800,舒克贝塔·五角飞碟,上映89天,27,<0.1%,0.01,58.2万,34.2万
327,--,0.2,<0.1%,1244,红猪,,17,<0.1%,0.00,58.2万,34.2万
327,--,1.0,<0.1%,1461478,大国粮仓,,2,<0.1%,0.00,58.2万,34.2万
327,--,<0.1,<0.1%,359377,罗小黑战记,,13,<0.1%,0.00,58.2万,34.2万
327,--,0.5,<0.1%,1413511,极速阻击,上映11天,2,<0.1%,0.00,58.2万,34.2万
327,--,0.0,<0.1%,1452790,消失的她,,36,<0.1%,0.00,58.2万,34.2万
327,0.9%,1.0,<0.1%,24242,追鱼,展映,1,<0.1%,0.00,58.2万,34.2万
327,--,0.0,<0.1%,1482315,名侦探柯南：黑铁的鱼影,,15,<0.1%,0.00,58.2万,34.2万
327,0.9%,0.3,<0.1%,78064,青春雷锋,,4,<0.1%,0.00,58.2万,34.2万
327,--,0.0,<0.1%,1182552,红海行动,,1,<0.1%,0,58.2万,34.2万
327,--,0.0,<0.1%,1335394,八戒之天蓬下界,上映47天,1,<0.1%,0,58.2万,34.2万
327,--,0.0,<0.1%,1383307,奇迹·笨小孩,,6,<0.1%,0,58.2万,34.2万
327,--,0.0,<0.1%,525889,孤注一掷,,3,<0.1%,0,58.2万,34.2万
327,--,0.0,<0.1%,1439164,动物园里有什么？,上映76天,4,<0.1%,0,58.2万,34.2万
327,--,0.0,<0.1%,1397103,古庙迷杀,,1,<0.1%,0,58.2万,34.2万
327,--,0.0,<0.1%,78894,红色恋人,,6,<0.1%,0,58.2万,34.2万
327,--,0.0,<0.1%,1280203,开国将帅授衔1955,,1,<0.1%,0,58.2万,34.2万
327,--,0.0,<0.1%,1429264,新九品芝麻官,上映12天,18,<0.1%,0,58.2万,34.2万
327,--,0.0,<0.1%,344990,唐人街探案2,,10,<0.1%,0,58.2万,34.2万
327,--,0.0,<0.1%,1432500,临时劫案,上映69天,1,<0.1%,0,58.2万,34.2万
327,--,0.0,<0.1%,1299144,阿里巴巴与神灯,,1,<0.1%,0,58.2万,34.2万
327,--,0.0,<0.1%,1007033,挑战,,2,<0.1%,0,58.2万,34.2万
327,--,0.0,<0.1%,1491518,密室逃脱,,1,<0.1%,0,58.2万,34.2万
327,--,0.0,<0.1%,78113,盲探,,7,<0.1%,0,58.2万,34.2万
327,--,0.0,<0.1%,1331256,吉祥如意,,5,<0.1%,0,58.2万,34.2万
327,--,0.0,<0.1%,1447569,幸福核桃,上映12天,1,<0.1%,0,58.2万,34.2万
327,--,0.0,<0.1%,1398529,家有儿女之神犬当家,上映68天,2,<0.1%,0,58.2万,34.2万
327,--,0.0,<0.1%,1442177,草原大作战,,1,<0.1%,0,58.2万,34.2万
327,--,0.0,<0.1%,78456,单身男女2,,1,<0.1%,0,58.2万,34.2万
327,--,0.0,<0.1%,1211219,禁锢,,1,<0.1%,0,58.2万,34.2万
327,--,0.0,<0.1%,1477400,你的约定,上映76天,1,<0.1%,0,58.2万,34.2万
327,--,0.0,<0.1%,1374349,孤注一掷,,40,<0.1%,0,58.2万,34.2万
327,--,0.0,<0.1%,1207114,潜行,上映90天,1,<0.1%,0,58.2万,34.2万
327,--,0.0,<0.1%,27,龙门飞甲,,1,<0.1%,0,58.2万,34.2万
327,--,0.0,<0.1%,1387181,悬崖下72小时,上映62天,1,<0.1%,0,58.2万,34.2万
327,--,0.0,<0.1%,1281273,破战,上映41天,1,<0.1%,0,58.2万,34.2万
327,--,0.0,<0.1%,1356026,不要走散好不好,,1,<0.1%,0,58.2万,34.2万
327,--,0.0,<0.1%,246591,大鱼海棠,,1,<0.1%,0,58.2万,34.2万
327,--,0.0,<0.1%,1486816,生命底色,,1,<0.1%,0,58.2万,34.2万
327,--,0.0,<0.1%,1423992,零度极限,点映,1,<0.1%,0,58.2万,34.2万
