日期,上座率,场均人次,票房占比,电影ID,电影名字,已上映天数,排片场次,排片占比,当日票房,当日总出票,当日总场次
209,3.6%,5.5,40.6%,1458876,年会不能停！,上映43天,32474,25.4%,692.30,44.3万,12.7万
209,2.3%,3.0,14.8%,1432500,临时劫案,上映22天,21749,17.0%,252.48,44.3万,12.7万
209,3.4%,4.1,14.0%,1331905,金手指,上映42天,14704,11.5%,239.36,44.3万,12.7万
209,2.9%,3.8,5.4%,1260081,海王2：失落的王国,上映52天,6437,5.0%,93.53,44.3万,12.7万
209,2.0%,2.0,3.9%,1439164,动物园里有什么？,上映29天,8607,6.7%,67.11,44.3万,12.7万
209,1.6%,2.0,3.3%,1442365,养蜂人,上映29天,6977,5.4%,57.29,44.3万,12.7万
209,2.5%,2.5,3.2%,1207114,潜行,上映43天,5737,4.5%,55.03,44.3万,12.7万
209,4.0%,4.1,2.3%,1482315,名侦探柯南：黑铁的鱼影,上映56天,3047,2.3%,39.86,44.3万,12.7万
209,2.8%,2.8,2.2%,1431800,舒克贝塔·五角飞碟,上映42天,3607,2.8%,38.59,44.3万,12.7万
209,1.7%,1.8,2.2%,1385865,三大队,上映57天,5022,3.9%,38.08,44.3万,12.7万
209,1.9%,1.8,2.0%,1500903,开心超人之时空营救,上映21天,5584,4.3%,35.11,44.3万,12.7万
209,2.2%,4.6,1.3%,1504098,泰勒·斯威夫特：时代巡回演唱会,上映41天,1171,0.9%,23.47,44.3万,12.7万
209,1.7%,1.7,1.2%,1461561,一闪一闪亮星星,上映42天,3511,2.7%,20.81,44.3万,12.7万
209,2.7%,2.4,0.4%,1479147,照明商店,上映64天,856,0.6%,8.16,44.3万,12.7万
209,1.7%,1.5,0.4%,1463744,非诚勿扰3,上映42天,1174,0.9%,7.23,44.3万,12.7万
209,2.4%,2.4,0.3%,1490806,蜡笔小新：新次元！超能力大决战,上映77天,873,0.6%,6.44,44.3万,12.7万
209,1.0%,0.9,0.2%,1376729,大雨,上映29天,1162,0.9%,4.26,44.3万,12.7万
209,1.7%,1.6,0.1%,1413066,天降大任,上映35天,557,0.4%,3.16,44.3万,12.7万
209,3.7%,3.5,0.1%,1218085,旺卡,上映64天,206,0.1%,2.79,44.3万,12.7万
209,41.3%,218.8,0.1%,1393548,白床单,,6,<0.1%,2.62,44.3万,12.7万
209,1.0%,2.4,0.1%,1320785,小行星猎人,上映29天,248,0.1%,2.51,44.3万,12.7万
209,2.0%,1.8,0.1%,338436,爱乐之城,,298,0.2%,2.24,44.3万,12.7万
209,0.5%,0.5,0.1%,1458940,江豚·风时舞,上映21天,1123,0.8%,2.16,44.3万,12.7万
209,--,188.7,0.1%,1435076,谁持彩练当空舞,上映46天,3,<0.1%,1.90,44.3万,12.7万
209,2.2%,2.3,<0.1%,1459756,狗神,上映57天,149,0.1%,1.35,44.3万,12.7万
209,0.1%,0.2,<0.1%,1328895,花千骨,上映21天,717,0.5%,0.57,44.3万,12.7万
209,0.5%,0.6,<0.1%,1461260,森巴幸福岛之我要回家,上映14天,218,0.1%,0.38,44.3万,12.7万
209,1.2%,1.1,<0.1%,1433654,还是觉得你最好,,108,<0.1%,0.36,44.3万,12.7万
209,--,120.0,<0.1%,1457129,北京2022,,1,<0.1%,0.36,44.3万,12.7万
209,0.4%,0.3,<0.1%,1426009,世界欠我一个你,上映15天,248,0.1%,0.34,44.3万,12.7万
209,3.0%,1.8,<0.1%,1387181,悬崖下72小时,上映15天,58,<0.1%,0.32,44.3万,12.7万
209,0.7%,1.0,<0.1%,1484755,唢呐客,上映23天,46,<0.1%,0.28,44.3万,12.7万
209,--,4.1,<0.1%,1229786,秋田,上映16天,20,<0.1%,0.26,44.3万,12.7万
209,0.7%,0.6,<0.1%,1441467,怒潮,上映56天,96,<0.1%,0.22,44.3万,12.7万
209,--,35.0,<0.1%,1417411,暴风,,2,<0.1%,0.21,44.3万,12.7万
209,1.0%,1.1,<0.1%,1320283,你的婚礼,,49,<0.1%,0.19,44.3万,12.7万
209,--,7.1,<0.1%,672203,超级的我,,8,<0.1%,0.16,44.3万,12.7万
209,4.6%,4.2,<0.1%,1355509,消失的收藏家,上映50天,11,<0.1%,0.14,44.3万,12.7万
209,31.7%,15.0,<0.1%,1469906,深城树下,上映29天,3,<0.1%,0.10,44.3万,12.7万
209,35.0%,1.9,<0.1%,1489349,第二十条,点映,14,<0.1%,0.09,44.3万,12.7万
209,0.7%,0.8,<0.1%,1335394,八戒之天蓬下界,零点场,26,<0.1%,0.08,44.3万,12.7万
209,26.1%,40.0,<0.1%,1418965,玩转门神,上映36天,1,<0.1%,0.08,44.3万,12.7万
209,0.3%,0.3,<0.1%,1398529,家有儿女之神犬当家,上映21天,71,<0.1%,0.07,44.3万,12.7万
209,3.8%,1.2,<0.1%,1495728,飞驰人生2,点映,17,<0.1%,0.07,44.3万,12.7万
209,0.9%,0.6,<0.1%,1509537,人民万岁,上映46天,31,<0.1%,0.06,44.3万,12.7万
209,3.9%,1.1,<0.1%,1500234,熊出没·逆转时空,点映,17,<0.1%,0.06,44.3万,12.7万
209,0.4%,0.4,<0.1%,1366178,夜幕将至,上映29天,27,<0.1%,0.04,44.3万,12.7万
209,1.5%,0.9,<0.1%,1431946,双山阻击战,上映15天,15,<0.1%,0.04,44.3万,12.7万
209,0.4%,0.6,<0.1%,1470659,少年的我,上映15天,24,<0.1%,0.03,44.3万,12.7万
209,0.5%,0.5,<0.1%,1356108,回西藏,上映30天,17,<0.1%,0.03,44.3万,12.7万
209,10.7%,0.6,<0.1%,1478901,热辣滚烫,点映,14,<0.1%,0.03,44.3万,12.7万
209,2.0%,1.3,<0.1%,1359725,瞒天过海,上映64天,6,<0.1%,0.03,44.3万,12.7万
209,3.7%,1.2,<0.1%,1300093,吾爱敦煌,上映85天,5,<0.1%,0.03,44.3万,12.7万
209,0.3%,0.3,<0.1%,1482089,我本是高山,上映78天,16,<0.1%,0.02,44.3万,12.7万
209,0.1%,0.2,<0.1%,1457152,乌蒙奇缘,上映10天,32,<0.1%,0.02,44.3万,12.7万
209,0.2%,0.3,<0.1%,1366363,烟火人间,上映28天,16,<0.1%,0.01,44.3万,12.7万
209,1.0%,0.8,<0.1%,1414041,汉文皇后（戏曲 越剧）,上映54天,5,<0.1%,0.01,44.3万,12.7万
209,1.6%,1.0,<0.1%,1450443,月光武士,上映57天,2,<0.1%,0.01,44.3万,12.7万
209,0.4%,0.4,<0.1%,1455531,迷你特工队之汉堡大作战,上映91天,10,<0.1%,0.01,44.3万,12.7万
209,0.9%,1.0,<0.1%,1510511,我向星星许个愿,上映92天,5,<0.1%,0.01,44.3万,12.7万
209,1.0%,1.0,<0.1%,1372970,破冰少年,上映23天,3,<0.1%,0.00,44.3万,12.7万
209,--,2.0,<0.1%,1451694,再见，李可乐,上映71天,1,<0.1%,0.00,44.3万,12.7万
