日期,上座率,场均人次,票房占比,电影ID,电影名字,已上映天数,排片场次,排片占比,当日票房,当日总出票,当日总场次
331,7.8%,13.1,64.8%,1470629,哥斯拉大战金刚2：帝国崛起,上映3天,161620,41.9%,9167.52,332.4万,38.6万
331,5.8%,6.8,10.9%,475180,功夫熊猫4,上映10天,56400,14.6%,1550.18,332.4万,38.6万
331,5.8%,6.6,8.2%,1487151,我们一起摇太阳,上映2天,42342,10.9%,1172.19,332.4万,38.6万
331,4.1%,4.8,4.6%,1488960,周处除三害,上映31天,34778,9.0%,658.00,332.4万,38.6万
331,5.1%,5.5,2.4%,1448919,坠落的审判,上映3天,15416,3.9%,346.46,332.4万,38.6万
331,6.0%,6.8,2.1%,1441786,沙丘2,上映24天,9727,2.5%,310.49,332.4万,38.6万
331,5.3%,5.4,1.8%,1500234,熊出没·逆转时空,上映51天,12680,3.2%,267.75,332.4万,38.6万
331,3.6%,3.7,0.8%,1489349,第二十条,上映51天,7537,1.9%,115.03,332.4万,38.6万
331,2.5%,2.7,0.8%,1451499,被我弄丢的你,上映24天,10627,2.7%,114.89,332.4万,38.6万
331,3.9%,3.9,0.7%,1495728,飞驰人生2,上映51天,6520,1.6%,104.85,332.4万,38.6万
331,2.6%,2.8,0.7%,1448767,灿烂的她,上映17天,10097,2.6%,102.90,332.4万,38.6万
331,1.6%,1.8,0.5%,1491012,银河写手,上映2天,11308,2.9%,78.76,332.4万,38.6万
331,17.4%,18.1,0.1%,1298240,黄雀在后！,点映,363,<0.1%,27.02,332.4万,38.6万
331,2.7%,2.7,0.1%,1478901,热辣滚烫,上映51天,2407,0.6%,26.60,332.4万,38.6万
331,21.0%,19.8,0.1%,1483129,白日之下,点映,178,<0.1%,15.53,332.4万,38.6万
331,2.6%,2.7,<0.1%,1442386,挑战,上映17天,382,<0.1%,4.17,332.4万,38.6万
331,1.6%,1.8,<0.1%,1511023,午夜6号房,上映31天,680,0.1%,3.84,332.4万,38.6万
331,--,40.4,<0.1%,1475199,家园梦想,,25,<0.1%,3.71,332.4万,38.6万
331,97.9%,105.8,<0.1%,1462637,雪豹,点映,6,<0.1%,3.66,332.4万,38.6万
331,--,177.6,<0.1%,1282399,苍穹,展映,5,<0.1%,3.55,332.4万,38.6万
331,87.6%,93.2,<0.1%,1414027,八百矿工上井冈,,12,<0.1%,3.31,332.4万,38.6万
331,--,15.6,<0.1%,1229786,秋田,上映67天,45,<0.1%,2.81,332.4万,38.6万
331,1.1%,1.2,<0.1%,1432006,红毯先生,上映17天,548,0.1%,2.51,332.4万,38.6万
331,17.9%,57.0,<0.1%,1443924,奥本海默,,7,<0.1%,2.43,332.4万,38.6万
331,1.3%,1.6,<0.1%,1515588,古堡守灵人,上映17天,500,0.1%,2.29,332.4万,38.6万
331,--,119.7,<0.1%,1385790,望道,,3,<0.1%,1.96,332.4万,38.6万
331,--,220.0,<0.1%,1198578,你想活出怎样的人生,点映,1,<0.1%,1.21,332.4万,38.6万
331,85.2%,273.0,<0.1%,1516739,北极荒原,展映,1,<0.1%,1.17,332.4万,38.6万
331,3.7%,16.2,<0.1%,1413629,泪光中的妈妈,,32,<0.1%,1.11,332.4万,38.6万
331,0.4%,0.8,<0.1%,1423883,国鼎魂（戏曲 苏剧）,上映7天,383,<0.1%,1.07,332.4万,38.6万
331,2.6%,6.0,<0.1%,1437173,绝地重生,上映18天,51,<0.1%,0.96,332.4万,38.6万
331,--,291.0,<0.1%,1374909,乘船而去,点映,1,<0.1%,0.87,332.4万,38.6万
331,0.8%,7.3,<0.1%,1427961,寻找消失的恋人,上映10天,37,<0.1%,0.82,332.4万,38.6万
331,0.7%,0.9,<0.1%,1445662,堡垒,上映10天,212,<0.1%,0.59,332.4万,38.6万
331,--,88.5,<0.1%,1515431,寻秘自然：地球往事,,2,<0.1%,0.58,332.4万,38.6万
331,46.6%,49.0,<0.1%,1228771,梅艳芳,,2,<0.1%,0.53,332.4万,38.6万
331,69.0%,122.0,<0.1%,1411266,川流不“熄”,,1,<0.1%,0.48,332.4万,38.6万
331,--,64.5,<0.1%,1362705,爱的重叠,上映80天,2,<0.1%,0.45,332.4万,38.6万
331,1.6%,2.3,<0.1%,343568,哥斯拉大战金刚,,46,<0.1%,0.40,332.4万,38.6万
331,83.8%,107.0,<0.1%,1225761,卡拉斯：为爱而声,,1,<0.1%,0.38,332.4万,38.6万
331,1.0%,4.1,<0.1%,1489930,阿莫阿依,上映16天,28,<0.1%,0.36,332.4万,38.6万
331,41.3%,42.7,<0.1%,1366363,烟火人间,上映79天,3,<0.1%,0.32,332.4万,38.6万
