日期,上座率,场均人次,票房占比,电影ID,电影名字,已上映天数,排片场次,排片占比,当日票房,当日总出票,当日总场次
102,6.5%,8.9,29.8%,1458876,年会不能停！,上映5天,78946,21.4%,2751.97,229.0万,36.8万
102,6.6%,8.0,19.4%,1331905,金手指,上映4天,56607,15.3%,1795.66,229.0万,36.8万
102,5.2%,5.9,13.2%,1207114,潜行,上映5天,52604,14.2%,1220.65,229.0万,36.8万
102,2.6%,3.7,11.8%,1461561,一闪一闪亮星星,上映4天,74956,20.3%,1087.80,229.0万,36.8万
102,5.5%,6.1,6.3%,1385865,三大队,上映19天,22751,6.1%,580.98,229.0万,36.8万
102,4.1%,5.9,4.9%,1260081,海王2：失落的王国,上映14天,19874,5.3%,459.16,229.0万,36.8万
102,4.9%,4.5,4.3%,1463744,非诚勿扰3,上映4天,21520,5.8%,398.88,229.0万,36.8万
102,4.0%,6.5,2.5%,1504098,泰勒·斯威夫特：时代巡回演唱会,上映3天,7913,2.1%,238.14,229.0万,36.8万
102,64.2%,108.5,1.9%,1431886,志愿军：雄兵出击,上映97天,169,<0.1%,175.49,229.0万,36.8万
102,81.5%,64.7,0.9%,1462645,孤军,上映6天,310,<0.1%,90.24,229.0万,36.8万
102,17.4%,18.1,0.8%,1509537,人民万岁,上映8天,1003,0.2%,78.44,229.0万,36.8万
102,3.7%,3.6,0.5%,1479147,照明商店,上映26天,3843,1.0%,54.81,229.0万,36.8万
102,1.9%,1.8,0.5%,1320283,你的婚礼,,7135,1.9%,46.94,229.0万,36.8万
102,3.0%,3.0,0.4%,338436,爱乐之城,,3341,0.9%,38.35,229.0万,36.8万
102,3.1%,2.9,0.4%,1482315,名侦探柯南：黑铁的鱼影,上映18天,3867,1.0%,37.51,229.0万,36.8万
102,1.2%,1.2,0.3%,1431800,舒克贝塔·五角飞碟,上映4天,6784,1.8%,28.96,229.0万,36.8万
102,41.2%,41.8,0.3%,1487331,金色面具英雄,上映5天,209,<0.1%,27.95,229.0万,36.8万
102,2.8%,2.7,0.2%,1441467,怒潮,上映18天,2267,0.6%,25.13,229.0万,36.8万
102,100.0%,136.9,0.1%,1482089,我本是高山,上映40天,34,<0.1%,18.23,229.0万,36.8万
102,15.7%,20.9,0.1%,1474410,爆裂点,上映26天,167,<0.1%,16.71,229.0万,36.8万
102,5.5%,5.7,0.1%,1459756,狗神,上映19天,489,0.1%,10.89,229.0万,36.8万
102,4.6%,4.7,0.1%,1218085,旺卡,上映26天,531,0.1%,9.64,229.0万,36.8万
102,1.7%,1.6,<0.1%,1451694,再见，李可乐,上映33天,466,0.1%,2.87,229.0万,36.8万
102,--,141.4,<0.1%,1282399,苍穹,展映,5,<0.1%,2.82,229.0万,36.8万
102,15.2%,20.0,<0.1%,1461204,仲肯,上映23天,35,<0.1%,2.70,229.0万,36.8万
102,1.2%,1.2,<0.1%,1490806,蜡笔小新：新次元！超能力大决战,上映39天,719,0.1%,2.43,229.0万,36.8万
102,--,109.3,<0.1%,1229055,寒单,点映,4,<0.1%,2.35,229.0万,36.8万
102,--,78.2,<0.1%,1414027,八百矿工上井冈,,9,<0.1%,1.86,229.0万,36.8万
