日期,上座率,场均人次,票房占比,电影ID,电影名字,已上映天数,排片场次,排片占比,当日票房,当日总出票,当日总场次
225,12.0%,15.8,30.9%,1489349,第二十条,上映16天,115975,27.1%,8083.29,596.7万,42.7万
225,11.4%,13.9,27.8%,1495728,飞驰人生2,上映16天,117326,27.5%,7276.52,596.7万,42.7万
225,17.3%,18.7,19.0%,1500234,熊出没·逆转时空,上映16天,62756,14.7%,4956.53,596.7万,42.7万
225,9.2%,10.7,18.8%,1478901,热辣滚烫,上映16天,105348,24.6%,4927.49,596.7万,42.7万
225,5.8%,5.7,1.1%,1505363,还是觉得你最好2,上映2天,13527,3.1%,303.66,596.7万,42.7万
225,8.0%,8.5,1.1%,1435968,阿盖尔：神秘特工,上映3天,7505,1.7%,293.01,596.7万,42.7万
225,31.0%,27.6,0.3%,1488960,周处除三害,点映,842,0.1%,102.31,596.7万,42.7万
225,44.4%,80.4,0.2%,1504098,泰勒·斯威夫特：时代巡回演唱会,上映57天,193,<0.1%,73.36,596.7万,42.7万
225,92.5%,81.4,0.1%,1462645,孤军,上映60天,92,<0.1%,29.19,596.7万,42.7万
225,4.7%,3.9,<0.1%,1458876,年会不能停！,上映59天,423,<0.1%,6.87,596.7万,42.7万
225,6.4%,6.2,<0.1%,1431800,舒克贝塔·五角飞碟,上映58天,256,<0.1%,6.21,596.7万,42.7万
225,7.8%,6.4,<0.1%,1260081,海王2：失落的王国,上映68天,182,<0.1%,4.43,596.7万,42.7万
225,--,180.6,<0.1%,1282399,苍穹,展映,5,<0.1%,3.61,596.7万,42.7万
225,2.7%,2.5,<0.1%,1335394,八戒之天蓬下界,上映16天,325,<0.1%,3.25,596.7万,42.7万
225,4.8%,4.9,<0.1%,1432500,临时劫案,上映38天,171,<0.1%,3.14,596.7万,42.7万
225,83.3%,266.5,<0.1%,1516739,北极荒原,展映,2,<0.1%,2.29,596.7万,42.7万
225,13.7%,13.0,<0.1%,338436,爱乐之城,,40,<0.1%,1.91,596.7万,42.7万
