日期,上座率,场均人次,票房占比,电影ID,电影名字,已上映天数,排片场次,排片占比,当日票房,当日总出票,当日总场次
302,9.8%,14.1,23.9%,1489349,第二十条,上映22天,85610,21.2%,5126.73,512.8万,40.3万
302,14.3%,17.5,22.6%,1488960,周处除三害,上映2天,68851,17.0%,4846.69,512.8万,40.3万
302,10.4%,13.4,21.6%,1495728,飞驰人生2,上映22天,80450,19.9%,4629.28,512.8万,40.3万
302,15.3%,16.2,14.8%,1500234,熊出没·逆转时空,上映22天,48229,11.9%,3171.33,512.8万,40.3万
302,9.0%,10.0,11.9%,1478901,热辣滚烫,上映22天,60771,15.0%,2547.96,512.8万,40.3万
302,3.6%,3.4,1.7%,1497948,戏杀,上映首日,27846,6.9%,365.40,512.8万,40.3万
302,6.0%,19.7,0.9%,1164582,沙丘,,1690,0.4%,201.19,512.8万,40.3万
302,2.5%,2.9,0.7%,1299938,蜘蛛夫人：超感觉醒,上映2天,13104,3.2%,162.22,512.8万,40.3万
302,9.5%,9.1,0.4%,1505363,还是觉得你最好2,上映8天,2426,0.6%,86.18,512.8万,40.3万
302,4.7%,4.5,0.3%,1511023,午夜6号房,上映2天,4519,1.1%,65.71,512.8万,40.3万
302,6.8%,21.4,0.2%,1443924,奥本海默,,430,0.1%,53.30,512.8万,40.3万
302,5.8%,5.0,0.1%,1435968,阿盖尔：神秘特工,上映9天,1580,0.3%,35.07,512.8万,40.3万
302,92.1%,49.4,0.1%,1448767,灿烂的她,点映,116,<0.1%,28.48,512.8万,40.3万
302,19.2%,34.5,<0.1%,1504098,泰勒·斯威夫特：时代巡回演唱会,上映63天,124,<0.1%,18.25,512.8万,40.3万
302,0.8%,0.7,<0.1%,1413802,陌路狂刀,上映首日,5797,1.4%,16.69,512.8万,40.3万
302,63.4%,76.3,<0.1%,1300093,吾爱敦煌,,28,<0.1%,12.76,512.8万,40.3万
302,22.9%,40.9,<0.1%,1385972,觅渡,,37,<0.1%,10.91,512.8万,40.3万
302,--,14.2,<0.1%,1475199,家园梦想,上映100天,164,<0.1%,9.43,512.8万,40.3万
302,--,180.4,<0.1%,1282399,苍穹,展映,5,<0.1%,3.60,512.8万,40.3万
302,--,93.2,<0.1%,1280203,开国将帅授衔1955,上映100天,12,<0.1%,2.79,512.8万,40.3万
302,4.8%,4.6,<0.1%,1431800,舒克贝塔·五角飞碟,上映64天,153,<0.1%,2.68,512.8万,40.3万
302,5.8%,4.7,<0.1%,1260081,海王2：失落的王国,上映74天,143,<0.1%,2.65,512.8万,40.3万
302,69.5%,66.6,<0.1%,1491518,密室逃脱,,8,<0.1%,2.15,512.8万,40.3万
302,5.6%,4.2,<0.1%,1458876,年会不能停！,上映65天,98,<0.1%,1.81,512.8万,40.3万
