日期,上座率,场均人次,票房占比,电影ID,电影名字,已上映天数,排片场次,排片占比,当日票房,当日总出票,当日总场次
521,2.9%,3.8,24.2%,1446323,末路狂花钱,上映21天,64307,17.2%,977.63,99.7万,37.3万
521,2.9%,3.9,19.7%,78645,九龙城寨之围城,上映21天,49571,13.2%,794.93,99.7万,37.3万
521,1.8%,2.3,12.8%,1334237,彷徨之刃,上映5天,53974,14.4%,519.02,99.7万,37.3万
521,1.7%,2.1,9.5%,1491249,错过你的那些年,上映3天,49036,13.1%,384.45,99.7万,37.3万
521,1.5%,2.3,8.4%,1309779,猩球崛起：新世界,上映12天,35251,9.4%,338.86,99.7万,37.3万
521,1.8%,1.9,3.5%,1413549,维和防暴队,上映21天,18472,4.9%,144.57,99.7万,37.3万
521,1.7%,1.8,2.7%,1461557,今夜，就算这份爱恋从世界上消失,上映4天,16885,4.5%,112.90,99.7万,37.3万
521,1.2%,1.3,2.7%,1405602,朝云暮雨,上映5天,21180,5.6%,110.48,99.7万,37.3万
521,9.0%,7.8,2.4%,1495758,猪猪侠大电影·星际行动,上映21天,2634,0.7%,98.71,99.7万,37.3万
521,1.7%,1.8,1.6%,1488646,间谍过家家 代号：白,上映22天,9803,2.6%,65.39,99.7万,37.3万
521,2.3%,2.3,1.5%,225980,哈尔的移动城堡,上映22天,6839,1.8%,63.12,99.7万,37.3万
521,1.2%,1.3,1.2%,1478828,你是我的英雄,上映2天,8848,2.3%,52.42,99.7万,37.3万
521,73.7%,87.0,1.1%,1435076,谁持彩练当空舞,,119,<0.1%,47.45,99.7万,37.3万
521,94.0%,84.6,1.1%,1511969,周立波回清溪,上映7天,143,<0.1%,45.82,99.7万,37.3万
521,1.0%,1.4,0.9%,1374577,特技狂人,上映5天,6111,1.6%,39.09,99.7万,37.3万
521,85.6%,95.4,0.9%,1489930,阿莫阿依,上映67天,65,<0.1%,36.76,99.7万,37.3万
521,44.3%,41.2,0.8%,1437173,绝地重生,上映69天,170,<0.1%,32.66,99.7万,37.3万
521,3.1%,2.9,0.7%,1446306,最后的，最初的,上映首日,2943,0.7%,31.60,99.7万,37.3万
521,43.5%,146.8,0.6%,1352371,雪域少年,,34,<0.1%,24.95,99.7万,37.3万
521,1.7%,1.5,0.4%,1518388,替身纸人2,上映4天,3452,0.9%,17.25,99.7万,37.3万
521,1.4%,1.5,0.2%,1470629,哥斯拉大战金刚2：帝国崛起,上映54天,1999,0.5%,11.72,99.7万,37.3万
521,0.6%,0.6,0.2%,1466394,四月女友,上映4天,4745,1.2%,11.48,99.7万,37.3万
521,2.0%,1.9,0.1%,1198578,你想活出怎样的人生,上映49天,1070,0.2%,7.92,99.7万,37.3万
521,0.2%,0.3,0.1%,1490986,你就在我身边,上映5天,7799,2.0%,7.89,99.7万,37.3万
521,9.7%,9.3,0.1%,1522256,我要当老师,上映34天,160,<0.1%,6.28,99.7万,37.3万
521,1.0%,0.8,0.1%,1489942,穿过月亮的旅行,上映21天,1681,0.4%,5.06,99.7万,37.3万
521,0.7%,0.7,0.1%,1427828,不能错过的只有你,,2009,0.5%,4.88,99.7万,37.3万
521,54.7%,115.6,0.1%,1414027,八百矿工上井冈,,12,<0.1%,4.61,99.7万,37.3万
521,--,157.0,<0.1%,1282399,苍穹,展映,5,<0.1%,3.14,99.7万,37.3万
521,--,105.8,<0.1%,1322239,盟军敢死队,点映,5,<0.1%,2.64,99.7万,37.3万
521,0.8%,0.9,<0.1%,475180,功夫熊猫4,上映61天,729,0.1%,2.48,99.7万,37.3万
521,--,19.2,<0.1%,1417411,暴风,,35,<0.1%,2.34,99.7万,37.3万
521,16.4%,14.4,<0.1%,1419044,屋顶足球,上映32天,43,<0.1%,1.72,99.7万,37.3万
521,12.9%,10.3,<0.1%,1356011,再见土拨鼠,上映33天,49,<0.1%,1.52,99.7万,37.3万
521,2.0%,1.8,<0.1%,1461216,红色冲浪板,上映5天,194,<0.1%,1.47,99.7万,37.3万
521,0.8%,0.8,<0.1%,1500234,熊出没·逆转时空,,405,0.1%,1.26,99.7万,37.3万
521,1.7%,3.4,<0.1%,1434565,末路迷途,上映7天,102,<0.1%,1.20,99.7万,37.3万
521,1.9%,2.3,<0.1%,1441786,沙丘2,上映75天,63,<0.1%,1.14,99.7万,37.3万
521,20.6%,19.8,<0.1%,1526140,父亲在远方,上映2天,13,<0.1%,1.04,99.7万,37.3万
521,24.3%,61.8,<0.1%,1504240,出发,,5,<0.1%,0.97,99.7万,37.3万
521,26.8%,75.2,<0.1%,1427883,因你而动,上映75天,5,<0.1%,0.94,99.7万,37.3万
521,1.7%,1.6,<0.1%,1431973,朱同在三年级丢失了超能力,点映,112,<0.1%,0.84,99.7万,37.3万
521,--,73.0,<0.1%,1356108,回西藏,,4,<0.1%,0.73,99.7万,37.3万
521,1.5%,1.4,<0.1%,1310520,年少日记,上映33天,101,<0.1%,0.55,99.7万,37.3万
521,2.1%,1.6,<0.1%,1448919,坠落的审判,上映54天,65,<0.1%,0.52,99.7万,37.3万
521,26.0%,36.0,<0.1%,1419063,村里那些事,上映33天,5,<0.1%,0.52,99.7万,37.3万
521,75.8%,47.7,<0.1%,1431842,浙南儿女英雄传之热血长虹,,3,<0.1%,0.50,99.7万,37.3万
521,45.3%,24.0,<0.1%,1435017,李夏·在路上,上映82天,4,<0.1%,0.47,99.7万,37.3万
521,2.6%,4.4,<0.1%,1339006,妈妈和七天的时间,上映14天,41,<0.1%,0.46,99.7万,37.3万
521,36.3%,33.1,<0.1%,1398070,我不是天才,上映11天,7,<0.1%,0.46,99.7万,37.3万
521,51.9%,58.0,<0.1%,1433391,申纪兰,,3,<0.1%,0.43,99.7万,37.3万
521,0.2%,0.3,<0.1%,1491810,发小儿万岁,点映,371,<0.1%,0.42,99.7万,37.3万
521,0.4%,39.3,<0.1%,1522020,幸福慢车,上映43天,3,<0.1%,0.41,99.7万,37.3万
521,--,3.7,<0.1%,1413665,云淡风轻,上映26天,28,<0.1%,0.39,99.7万,37.3万
521,63.7%,120.0,<0.1%,1461197,带彩球的帐篷,点映,1,<0.1%,0.36,99.7万,37.3万
521,3.0%,1.9,<0.1%,1462637,雪豹,上映49天,49,<0.1%,0.33,99.7万,37.3万
521,1.7%,4.0,<0.1%,1370725,草木人间,上映49天,23,<0.1%,0.33,99.7万,37.3万
521,8.1%,23.3,<0.1%,1435032,碧血黎明,上映11天,3,<0.1%,0.30,99.7万,37.3万
521,5.2%,3.4,<0.1%,1524534,金剑行动,上映4天,12,<0.1%,0.30,99.7万,37.3万
521,--,1.9,<0.1%,1524258,富贵东西,上映7天,31,<0.1%,0.29,99.7万,37.3万
521,1.0%,0.8,<0.1%,1487151,我们一起摇太阳,上映53天,88,<0.1%,0.26,99.7万,37.3万
521,--,50.0,<0.1%,1458881,陨石江湖：天降20亿,上映40天,1,<0.1%,0.20,99.7万,37.3万
521,0.1%,0.5,<0.1%,1396308,魔幻奇缘之宝石公主,,157,<0.1%,0.18,99.7万,37.3万
521,2.1%,2.0,<0.1%,1446251,午夜怪谈,上映48天,26,<0.1%,0.17,99.7万,37.3万
521,0.6%,0.4,<0.1%,1489410,没有一顿火锅解决不了的事,上映21天,105,<0.1%,0.17,99.7万,37.3万
521,1.7%,1.3,<0.1%,1488960,周处除三害,上映82天,32,<0.1%,0.16,99.7万,37.3万
521,--,11.0,<0.1%,1383307,奇迹·笨小孩,,5,<0.1%,0.16,99.7万,37.3万
521,0.9%,0.7,<0.1%,1491251,一路向南,上映5天,48,<0.1%,0.12,99.7万,37.3万
521,--,27.0,<0.1%,1499403,余下都是春天,,2,<0.1%,0.10,99.7万,37.3万
521,2.9%,4.1,<0.1%,1521582,我，就是风!,点映,7,<0.1%,0.10,99.7万,37.3万
521,0.6%,0.5,<0.1%,1250661,消失的木偶,上映33天,51,<0.1%,0.09,99.7万,37.3万
521,22.0%,30.0,<0.1%,1291017,舞动奇迹,点映,1,<0.1%,0.09,99.7万,37.3万
521,--,7.5,<0.1%,1355362,我们的七月,,4,<0.1%,0.09,99.7万,37.3万
521,--,40.0,<0.1%,1418965,玩转门神,,1,<0.1%,0.08,99.7万,37.3万
521,1.2%,1.2,<0.1%,1490406,金的音像店,上映33天,11,<0.1%,0.07,99.7万,37.3万
521,1.3%,1.4,<0.1%,1374909,乘船而去,上映40天,11,<0.1%,0.06,99.7万,37.3万
521,--,1.8,<0.1%,247300,唐人街探案,,13,<0.1%,0.05,99.7万,37.3万
521,0.3%,0.3,<0.1%,1413629,泪光中的妈妈,上映11天,82,<0.1%,0.05,99.7万,37.3万
521,--,2.3,<0.1%,672203,超级的我,,8,<0.1%,0.05,99.7万,37.3万
521,0.2%,0.2,<0.1%,1434993,云雾女孩,上映5天,67,<0.1%,0.04,99.7万,37.3万
521,5.0%,3.0,<0.1%,1355225,睿王与庄妃,上映5天,4,<0.1%,0.03,99.7万,37.3万
521,--,3.3,<0.1%,1351778,爱在陇南,上映34天,3,<0.1%,0.03,99.7万,37.3万
521,0.2%,0.2,<0.1%,1298240,黄雀在后！,上映49天,29,<0.1%,0.02,99.7万,37.3万
521,10.0%,6.0,<0.1%,1387181,悬崖下72小时,,1,<0.1%,0.02,99.7万,37.3万
521,0.5%,0.7,<0.1%,1483129,白日之下,上映40天,9,<0.1%,0.02,99.7万,37.3万
521,0.4%,2.5,<0.1%,1298450,蜘蛛侠：纵横宇宙,,2,<0.1%,0.01,99.7万,37.3万
