日期,上座率,场均人次,票房占比,电影ID,电影名字,已上映天数,排片场次,排片占比,当日票房,当日总出票,当日总场次
117,3.1%,4.8,36.5%,1458876,年会不能停！,上映20天,93978,26.1%,1726.06,120.8万,36.0万
117,3.1%,3.7,14.0%,1331905,金手指,上映19天,45340,12.5%,665.28,120.8万,36.0万
117,2.3%,3.0,10.2%,1442365,养蜂人,上映6天,40618,11.2%,483.58,120.8万,36.0万
117,1.6%,2.0,7.6%,1439164,动物园里有什么？,上映6天,49236,13.6%,360.93,120.8万,36.0万
117,2.7%,2.9,7.1%,1207114,潜行,上映20天,30035,8.3%,335.83,120.8万,36.0万
117,3.0%,3.3,5.1%,1385865,三大队,上映34天,17855,4.9%,241.82,120.8万,36.0万
117,2.6%,3.2,3.6%,1260081,海王2：失落的王国,上映29天,14103,3.9%,170.37,120.8万,36.0万
117,2.1%,2.2,2.8%,1461561,一闪一闪亮星星,上映19天,17349,4.8%,135.36,120.8万,36.0万
117,78.8%,72.7,2.2%,1462645,孤军,上映21天,295,<0.1%,104.10,120.8万,36.0万
117,2.9%,2.6,1.7%,1463744,非诚勿扰3,上映19天,7761,2.1%,83.37,120.8万,36.0万
117,1.1%,1.2,1.5%,1376729,大雨,上映6天,15164,4.2%,72.59,120.8万,36.0万
117,2.4%,4.0,1.1%,1504098,泰勒·斯威夫特：时代巡回演唱会,上映18天,3191,0.8%,55.80,120.8万,36.0万
117,2.2%,2.0,0.7%,1431800,舒克贝塔·五角飞碟,上映19天,4575,1.2%,34.13,120.8万,36.0万
117,3.4%,3.3,0.7%,1482315,名侦探柯南：黑铁的鱼影,上映33天,3191,0.8%,34.06,120.8万,36.0万
117,2.7%,2.6,0.7%,1479147,照明商店,上映41天,3274,0.9%,33.59,120.8万,36.0万
117,100.0%,217.6,0.5%,1432500,临时劫案,点映,8,<0.1%,27.35,120.8万,36.0万
117,59.1%,61.7,0.4%,1431886,志愿军：雄兵出击,,60,<0.1%,22.79,120.8万,36.0万
117,17.6%,18.8,0.3%,1509537,人民万岁,上映23天,234,<0.1%,16.82,120.8万,36.0万
117,2.6%,2.4,0.3%,338436,爱乐之城,,1613,0.4%,14.91,120.8万,36.0万
117,1.5%,1.5,0.2%,1413066,天降大任,上映12天,2060,0.5%,11.51,120.8万,36.0万
117,28.2%,67.5,0.2%,1446134,开山人,上映51天,32,<0.1%,10.80,120.8万,36.0万
117,92.4%,95.8,0.2%,1393548,白床单,上映84天,12,<0.1%,9.50,120.8万,36.0万
117,4.6%,4.1,0.1%,1218085,旺卡,上映41天,440,0.1%,7.43,120.8万,36.0万
