日期,上座率,场均人次,票房占比,电影ID,电影名字,已上映天数,排片场次,排片占比,当日票房,当日总出票,当日总场次
206,3.1%,4.7,38.3%,1458876,年会不能停！,上映40天,95379,25.5%,1685.01,115.7万,37.3万
206,3.4%,3.9,14.1%,1331905,金手指,上映39天,40872,10.9%,619.44,115.7万,37.3万
206,1.8%,2.3,13.3%,1432500,临时劫案,上映19天,66586,17.8%,587.50,115.7万,37.3万
206,2.8%,3.5,4.7%,1260081,海王2：失落的王国,上映49天,16025,4.2%,209.88,115.7万,37.3万
206,2.0%,2.1,4.7%,1439164,动物园里有什么？,上映26天,27220,7.2%,206.74,115.7万,37.3万
206,1.6%,1.9,3.8%,1442365,养蜂人,上映26天,21509,5.7%,166.95,115.7万,37.3万
206,2.1%,2.3,3.3%,1385865,三大队,上映54天,15618,4.1%,146.86,115.7万,37.3万
206,2.1%,2.1,3.1%,1207114,潜行,上映40天,17335,4.6%,140.05,115.7万,37.3万
206,3.7%,3.7,2.0%,1482315,名侦探柯南：黑铁的鱼影,上映53天,7599,2.0%,90.08,115.7万,37.3万
206,2.0%,1.9,2.0%,1500903,开心超人之时空营救,上映18天,14187,3.7%,89.61,115.7万,37.3万
206,2.7%,2.7,1.7%,1431800,舒克贝塔·五角飞碟,上映39天,7640,2.0%,76.30,115.7万,37.3万
206,2.0%,2.0,1.6%,1461561,一闪一闪亮星星,上映39天,10771,2.8%,74.54,115.7万,37.3万
206,2.7%,2.5,0.8%,1479147,照明商店,上映61天,3989,1.0%,39.30,115.7万,37.3万
206,39.6%,66.8,0.8%,1431886,志愿军：雄兵出击,,57,<0.1%,39.02,115.7万,37.3万
206,1.8%,3.3,0.7%,1504098,泰勒·斯威夫特：时代巡回演唱会,上映38天,2213,0.5%,32.12,115.7万,37.3万
206,81.3%,67.0,0.6%,1462645,孤军,上映41天,108,<0.1%,28.93,115.7万,37.3万
206,2.0%,1.7,0.6%,1463744,非诚勿扰3,上映39天,3931,1.0%,27.18,115.7万,37.3万
206,47.8%,47.7,0.5%,1482089,我本是高山,上映75天,133,<0.1%,25.34,115.7万,37.3万
206,2.8%,2.8,0.3%,1490806,蜡笔小新：新次元！超能力大决战,上映74天,1817,0.4%,14.95,115.7万,37.3万
206,1.0%,1.0,0.3%,1376729,大雨,上映26天,3602,0.9%,14.44,115.7万,37.3万
206,2.5%,2.2,0.2%,1413066,天降大任,上映32天,1627,0.4%,12.45,115.7万,37.3万
206,3.4%,3.3,0.2%,1218085,旺卡,上映61天,759,0.2%,9.49,115.7万,37.3万
206,0.5%,0.5,0.1%,1458940,江豚·风时舞,上映18天,4246,1.1%,8.49,115.7万,37.3万
206,2.3%,2.1,0.1%,338436,爱乐之城,,734,0.1%,6.41,115.7万,37.3万
206,2.6%,2.5,<0.1%,1459756,狗神,上映54天,418,0.1%,4.23,115.7万,37.3万
206,2.2%,2.1,<0.1%,1493351,飞鸭向前冲,上映61天,544,0.1%,3.96,115.7万,37.3万
206,--,173.6,<0.1%,1282399,苍穹,展映,5,<0.1%,3.47,115.7万,37.3万
206,--,92.8,<0.1%,1435076,谁持彩练当空舞,上映43天,10,<0.1%,3.21,115.7万,37.3万
206,0.6%,1.4,<0.1%,1320785,小行星猎人,上映26天,498,0.1%,3.17,115.7万,37.3万
206,0.2%,0.2,<0.1%,1328895,花千骨,上映18天,3013,0.8%,2.71,115.7万,37.3万
206,0.1%,5.1,<0.1%,1229786,秋田,上映13天,149,<0.1%,2.62,115.7万,37.3万
206,--,126.0,<0.1%,1489348,黄貔：天降财神猫,点映,3,<0.1%,1.51,115.7万,37.3万
206,95.2%,82.3,<0.1%,1445662,堡垒,,7,<0.1%,1.44,115.7万,37.3万
206,0.8%,0.8,<0.1%,1433654,还是觉得你最好,,475,0.1%,1.38,115.7万,37.3万
206,0.7%,0.7,<0.1%,1461260,森巴幸福岛之我要回家,上映11天,594,0.1%,1.31,115.7万,37.3万
206,0.2%,0.3,<0.1%,1426009,世界欠我一个你,上映12天,1309,0.3%,1.24,115.7万,37.3万
206,3.3%,3.8,<0.1%,1509537,人民万岁,上映43天,73,<0.1%,0.93,115.7万,37.3万
206,0.6%,0.6,<0.1%,1441467,怒潮,上映53天,366,<0.1%,0.91,115.7万,37.3万
