日期,上座率,场均人次,票房占比,电影ID,电影名字,已上映天数,排片场次,排片占比,当日票房,当日总出票,当日总场次
411,1.9%,2.8,33.6%,1198578,你想活出怎样的人生,上映9天,115116,31.4%,1228.44,91.7万,36.7万
411,1.7%,2.5,26.0%,1470629,哥斯拉大战金刚2：帝国崛起,上映14天,90445,24.6%,952.51,91.7万,36.7万
411,2.3%,2.3,9.0%,1370725,草木人间,上映9天,38439,10.4%,330.42,91.7万,36.7万
411,2.2%,2.2,8.4%,1298240,黄雀在后！,上映9天,36792,10.0%,308.39,91.7万,36.7万
411,2.7%,2.6,6.9%,1487151,我们一起摇太阳,上映13天,23326,6.3%,252.58,91.7万,36.7万
411,2.0%,1.9,3.8%,1491083,大“反”派,上映8天,19516,5.3%,142.03,91.7万,36.7万
411,1.6%,1.5,2.6%,475180,功夫熊猫4,上映21天,15279,4.1%,95.97,91.7万,36.7万
411,1.9%,1.8,1.2%,1488960,周处除三害,上映42天,6369,1.7%,45.71,91.7万,36.7万
411,17.1%,17.0,1.0%,1522020,幸福慢车,上映3天,488,0.1%,38.48,91.7万,36.7万
411,3.2%,2.9,1.0%,1448919,坠落的审判,上映14天,3164,0.8%,37.69,91.7万,36.7万
411,11.3%,8.1,0.9%,1448767,灿烂的她,上映28天,1108,0.3%,35.80,91.7万,36.7万
411,2.8%,3.2,0.9%,1441786,沙丘2,上映35天,2154,0.5%,34.95,91.7万,36.7万
411,3.2%,3.1,0.8%,1462637,雪豹,上映9天,2345,0.6%,29.56,91.7万,36.7万
411,32.9%,26.7,0.5%,1437173,绝地重生,上映29天,217,<0.1%,20.95,91.7万,36.7万
411,--,74.3,0.4%,1475199,家园梦想,,53,<0.1%,15.10,91.7万,36.7万
411,1.5%,1.4,0.3%,1446251,午夜怪谈,上映8天,2437,0.6%,12.35,91.7万,36.7万
411,2.8%,2.5,0.3%,1500234,熊出没·逆转时空,上映62天,1238,0.3%,11.76,91.7万,36.7万
411,2.8%,2.3,0.2%,1489349,第二十条,上映62天,1094,0.2%,10.18,91.7万,36.7万
411,1.9%,1.6,0.2%,1451499,被我弄丢的你,上映35天,1203,0.3%,7.45,91.7万,36.7万
411,1.9%,1.7,0.1%,1495728,飞驰人生2,上映62天,920,0.2%,6.22,91.7万,36.7万
411,72.3%,89.2,0.1%,1414027,八百矿工上井冈,,21,<0.1%,5.28,91.7万,36.7万
411,0.4%,0.5,0.1%,1487901,冰雪女王5：融冰之战,上映8天,3067,0.8%,4.85,91.7万,36.7万
411,6.1%,5.0,<0.1%,1445662,堡垒,上映21天,194,<0.1%,3.64,91.7万,36.7万
411,--,164.6,<0.1%,1282399,苍穹,展映,5,<0.1%,3.29,91.7万,36.7万
411,--,113.8,<0.1%,1385790,望道,,4,<0.1%,3.03,91.7万,36.7万
411,24.9%,42.6,<0.1%,1459208,边疆军魂,,16,<0.1%,1.41,91.7万,36.7万
411,37.0%,50.0,<0.1%,1300763,陀螺女孩,上映28天,7,<0.1%,1.40,91.7万,36.7万
411,0.6%,0.5,<0.1%,1491012,银河写手,上映13天,575,0.1%,1.29,91.7万,36.7万
411,--,128.0,<0.1%,1504240,出发,,4,<0.1%,1.28,91.7万,36.7万
411,--,128.5,<0.1%,1351501,水让我重生,,4,<0.1%,1.02,91.7万,36.7万
411,--,59.9,<0.1%,1355149,生死坚守,,8,<0.1%,0.95,91.7万,36.7万
411,--,34.6,<0.1%,1355362,我们的七月,,8,<0.1%,0.83,91.7万,36.7万
411,1.5%,2.8,<0.1%,1442386,挑战,上映28天,67,<0.1%,0.81,91.7万,36.7万
411,99.6%,269.0,<0.1%,1435076,谁持彩练当空舞,,1,<0.1%,0.80,91.7万,36.7万
411,17.1%,33.5,<0.1%,1340449,单声,,8,<0.1%,0.75,91.7万,36.7万
411,--,66.3,<0.1%,1263778,毛泽东在才溪,,3,<0.1%,0.53,91.7万,36.7万
411,71.4%,13.5,<0.1%,1414999,一山之隔,,11,<0.1%,0.44,91.7万,36.7万
411,--,74.5,<0.1%,1458881,陨石江湖：天降20亿,零点场,2,<0.1%,0.37,91.7万,36.7万
411,1.0%,4.6,<0.1%,1489930,阿莫阿依,上映27天,14,<0.1%,0.33,91.7万,36.7万
411,0.6%,0.7,<0.1%,1511023,午夜6号房,上映42天,127,<0.1%,0.27,91.7万,36.7万
411,35.1%,12.1,<0.1%,1374909,乘船而去,零点场,8,<0.1%,0.25,91.7万,36.7万
411,--,9.9,<0.1%,1413629,泪光中的妈妈,点映,7,<0.1%,0.24,91.7万,36.7万
411,--,95.0,<0.1%,1280203,开国将帅授衔1955,,1,<0.1%,0.23,91.7万,36.7万
411,32.6%,19.3,<0.1%,1431842,浙南儿女英雄传之热血长虹,上映78天,3,<0.1%,0.20,91.7万,36.7万
411,0.9%,0.8,<0.1%,1515588,古堡守灵人,上映28天,75,<0.1%,0.17,91.7万,36.7万
411,0.6%,0.5,<0.1%,1432006,红毯先生,上映28天,88,<0.1%,0.17,91.7万,36.7万
411,--,7.7,<0.1%,1362705,爱的重叠,上映91天,6,<0.1%,0.16,91.7万,36.7万
411,--,7.5,<0.1%,1427883,因你而动,上映35天,8,<0.1%,0.15,91.7万,36.7万
411,4.2%,1.8,<0.1%,1374349,孤注一掷,,30,<0.1%,0.13,91.7万,36.7万
