日期,上座率,场均人次,票房占比,电影ID,电影名字,已上映天数,排片场次,排片占比,当日票房,当日总出票,当日总场次
515,2.5%,3.2,27.6%,78645,九龙城寨之围城,上映15天,71095,19.8%,913.57,81.8万,35.8万
515,2.3%,2.8,27.2%,1446323,末路狂花钱,上映15天,80659,22.5%,899.85,81.8万,35.8万
515,1.3%,2.0,19.4%,1309779,猩球崛起：新世界,上映6天,79238,22.1%,642.64,81.8万,35.8万
515,1.5%,1.6,10.4%,1413549,维和防暴队,上映15天,52794,14.7%,343.46,81.8万,35.8万
515,1.1%,1.2,3.7%,1488646,间谍过家家 代号：白,上映16天,28040,7.8%,124.93,81.8万,35.8万
515,1.8%,1.8,3.7%,225980,哈尔的移动城堡,上映16天,17665,4.9%,122.78,81.8万,35.8万
515,58.4%,81.9,1.3%,1489930,阿莫阿依,上映61天,107,<0.1%,45.31,81.8万,35.8万
515,0.9%,0.8,0.9%,1489942,穿过月亮的旅行,上映15天,10241,2.8%,30.71,81.8万,35.8万
515,18.7%,17.4,0.7%,1522256,我要当老师,上映28天,353,<0.1%,26.01,81.8万,35.8万
515,1.3%,1.3,0.6%,1470629,哥斯拉大战金刚2：帝国崛起,上映48天,4254,1.1%,21.98,81.8万,35.8万
515,1.3%,1.2,0.5%,1495758,猪猪侠大电影·星际行动,上映15天,3749,1.0%,18.17,81.8万,35.8万
515,1.6%,1.4,0.4%,1198578,你想活出怎样的人生,上映43天,2492,0.6%,14.11,81.8万,35.8万
515,23.3%,26.4,0.3%,1437173,绝地重生,上映63天,120,<0.1%,12.60,81.8万,35.8万
515,11.0%,27.8,0.2%,1356011,再见土拨鼠,上映27天,78,<0.1%,7.98,81.8万,35.8万
515,41.4%,103.5,0.2%,1478828,你是我的英雄,点映,14,<0.1%,6.77,81.8万,35.8万
515,1.4%,22.3,0.2%,1511969,周立波回清溪,上映首日,70,<0.1%,6.66,81.8万,35.8万
515,5.8%,127.1,0.1%,1490986,你就在我身边,点映,9,<0.1%,5.79,81.8万,35.8万
515,94.0%,86.3,0.1%,1405602,朝云暮雨,点映,12,<0.1%,5.28,81.8万,35.8万
515,1.9%,1.8,0.1%,1310520,年少日记,上映27天,536,0.1%,3.72,81.8万,35.8万
515,--,94.3,0.1%,1414027,八百矿工上井冈,,14,<0.1%,3.61,81.8万,35.8万
515,0.6%,0.7,<0.1%,475180,功夫熊猫4,上映55天,1248,0.3%,3.19,81.8万,35.8万
515,--,147.2,<0.1%,1282399,苍穹,展映,5,<0.1%,2.94,81.8万,35.8万
515,1.3%,1.3,<0.1%,1250661,消失的木偶,上映27天,671,0.1%,2.72,81.8万,35.8万
515,19.7%,52.4,<0.1%,1522020,幸福慢车,上映37天,12,<0.1%,2.30,81.8万,35.8万
515,77.6%,135.5,<0.1%,1434993,云雾女孩,点映,4,<0.1%,2.16,81.8万,35.8万
515,37.2%,74.8,<0.1%,1354421,禹城秘事,,5,<0.1%,1.87,81.8万,35.8万
515,1.1%,1.1,<0.1%,1339006,妈妈和七天的时间,上映8天,443,0.1%,1.65,81.8万,35.8万
515,34.9%,38.7,<0.1%,1427883,因你而动,上映69天,16,<0.1%,1.54,81.8万,35.8万
515,--,42.1,<0.1%,1355362,我们的七月,,12,<0.1%,1.51,81.8万,35.8万
515,0.7%,0.6,<0.1%,1489410,没有一顿火锅解决不了的事,上映15天,638,0.1%,1.50,81.8万,35.8万
515,1.8%,1.9,<0.1%,1441786,沙丘2,上映69天,99,<0.1%,1.28,81.8万,35.8万
515,2.2%,2.1,<0.1%,1448919,坠落的审判,上映48天,129,<0.1%,1.24,81.8万,35.8万
515,2.8%,3.3,<0.1%,1434565,末路迷途,上映首日,104,<0.1%,1.19,81.8万,35.8万
515,2.7%,2.8,<0.1%,1490406,金的音像店,上映27天,85,<0.1%,1.10,81.8万,35.8万
515,2.2%,3.0,<0.1%,1370725,草木人间,上映43天,106,<0.1%,1.10,81.8万,35.8万
515,0.9%,0.8,<0.1%,1487151,我们一起摇太阳,上映47天,322,<0.1%,1.10,81.8万,35.8万
515,0.7%,0.6,<0.1%,1500234,熊出没·逆转时空,上映96天,463,0.1%,1.08,81.8万,35.8万
515,--,8.1,<0.1%,1417411,暴风,,38,<0.1%,1.06,81.8万,35.8万
515,3.1%,5.0,<0.1%,1419044,屋顶足球,上映26天,65,<0.1%,0.96,81.8万,35.8万
515,2.8%,12.6,<0.1%,342288,抗战中的文艺（舞台纪录电影·话剧）,上映27天,19,<0.1%,0.95,81.8万,35.8万
515,3.3%,2.4,<0.1%,1462637,雪豹,上映43天,107,<0.1%,0.89,81.8万,35.8万
515,42.6%,38.0,<0.1%,1525094,长风万里,上映21天,7,<0.1%,0.80,81.8万,35.8万
515,48.1%,63.0,<0.1%,1445662,堡垒,上映55天,4,<0.1%,0.63,81.8万,35.8万
515,1.7%,1.4,<0.1%,1488960,周处除三害,上映76天,118,<0.1%,0.59,81.8万,35.8万
515,--,141.0,<0.1%,1461216,红色冲浪板,点映,1,<0.1%,0.56,81.8万,35.8万
515,32.6%,31.3,<0.1%,1398070,我不是天才,上映5天,7,<0.1%,0.46,81.8万,35.8万
515,11.4%,19.9,<0.1%,1435076,谁持彩练当空舞,,7,<0.1%,0.41,81.8万,35.8万
515,3.7%,3.4,<0.1%,1483129,白日之下,上映34天,37,<0.1%,0.40,81.8万,35.8万
515,1.2%,41.5,<0.1%,1446306,最后的，最初的,点映,2,<0.1%,0.37,81.8万,35.8万
515,1.0%,1.0,<0.1%,1446251,午夜怪谈,上映42天,105,<0.1%,0.37,81.8万,35.8万
515,0.2%,0.2,<0.1%,1413629,泪光中的妈妈,上映5天,444,0.1%,0.35,81.8万,35.8万
515,30.5%,52.0,<0.1%,1462645,孤军,,2,<0.1%,0.34,81.8万,35.8万
515,--,28.3,<0.1%,1435032,碧血黎明,上映5天,4,<0.1%,0.33,81.8万,35.8万
515,--,3.2,<0.1%,1413665,云淡风轻,上映20天,27,<0.1%,0.33,81.8万,35.8万
515,0.6%,0.6,<0.1%,1491083,大“反”派,上映42天,120,<0.1%,0.27,81.8万,35.8万
515,40.6%,45.3,<0.1%,1499403,余下都是春天,,3,<0.1%,0.27,81.8万,35.8万
515,10.0%,9.3,<0.1%,1351778,爱在陇南,上映28天,9,<0.1%,0.27,81.8万,35.8万
515,0.1%,0.2,<0.1%,1396308,魔幻奇缘之宝石公主,,492,0.1%,0.24,81.8万,35.8万
515,--,60.0,<0.1%,1504240,出发,,1,<0.1%,0.24,81.8万,35.8万
515,83.3%,50.0,<0.1%,1482089,我本是高山,,1,<0.1%,0.22,81.8万,35.8万
515,0.3%,0.3,<0.1%,58747,数码宝贝02：最初的召唤,上映26天,143,<0.1%,0.18,81.8万,35.8万
515,--,19.7,<0.1%,1340449,单声,,3,<0.1%,0.17,81.8万,35.8万
515,1.9%,1.7,<0.1%,1374909,乘船而去,上映34天,22,<0.1%,0.15,81.8万,35.8万
515,9.7%,33.0,<0.1%,1516739,北极荒原,展映,1,<0.1%,0.14,81.8万,35.8万
515,--,32.5,<0.1%,1355149,生死坚守,,2,<0.1%,0.13,81.8万,35.8万
515,41.9%,48.0,<0.1%,1282839,冰下的鱼,点映,1,<0.1%,0.12,81.8万,35.8万
515,70.4%,50.0,<0.1%,1418965,玩转门神,,1,<0.1%,0.10,81.8万,35.8万
515,--,10.7,<0.1%,1458881,陨石江湖：天降20亿,上映34天,3,<0.1%,0.09,81.8万,35.8万
515,4.5%,1.1,<0.1%,1228,天空之城,,35,<0.1%,0.08,81.8万,35.8万
515,--,3.5,<0.1%,672203,超级的我,,8,<0.1%,0.08,81.8万,35.8万
515,10.6%,1.0,<0.1%,1244,红猪,,40,<0.1%,0.08,81.8万,35.8万
515,0.8%,2.7,<0.1%,1164582,沙丘,,3,<0.1%,0.07,81.8万,35.8万
515,0.7%,0.8,<0.1%,1504186,中国车手周冠宇,上映27天,21,<0.1%,0.06,81.8万,35.8万
515,--,9.7,<0.1%,1459208,边疆军魂,,3,<0.1%,0.05,81.8万,35.8万
515,4.2%,3.7,<0.1%,1280203,开国将帅授衔1955,,3,<0.1%,0.05,81.8万,35.8万
515,--,6.0,<0.1%,1397232,少年先锋,,3,<0.1%,0.05,81.8万,35.8万
515,--,37.0,<0.1%,459713,碧玉簪,,1,<0.1%,0.03,81.8万,35.8万
515,42.8%,18.0,<0.1%,1414999,一山之隔,,1,<0.1%,0.03,81.8万,35.8万
515,13.8%,5.0,<0.1%,1431842,浙南儿女英雄传之热血长虹,,2,<0.1%,0.03,81.8万,35.8万
515,0.0%,<0.1,<0.1%,1519724,重山之外,上映26天,97,<0.1%,0.02,81.8万,35.8万
515,0.1%,0.4,<0.1%,1299863,八十九分之一的凶手,上映20天,20,<0.1%,0.02,81.8万,35.8万
515,1.4%,0.8,<0.1%,1515588,古堡守灵人,上映62天,13,<0.1%,0.02,81.8万,35.8万
515,0.1%,0.1,<0.1%,1298240,黄雀在后！,上映43天,64,<0.1%,0.02,81.8万,35.8万
515,0.4%,0.4,<0.1%,1479602,疯狂星期一,上映27天,12,<0.1%,0.01,81.8万,35.8万
515,--,0.8,<0.1%,1374349,孤注一掷,,12,<0.1%,0.01,81.8万,35.8万
515,9.3%,4.0,<0.1%,1414041,汉文皇后（戏曲 越剧）,,1,<0.1%,0.01,81.8万,35.8万
515,7.4%,8.0,<0.1%,1242377,毛泽东在上海1924,,1,<0.1%,0.01,81.8万,35.8万
515,4.2%,6.0,<0.1%,1519594,苏武牧羊（戏曲·豫剧）,展映,1,<0.1%,0.00,81.8万,35.8万
515,1.1%,2.0,<0.1%,1387181,悬崖下72小时,,1,<0.1%,0.00,81.8万,35.8万
515,3.3%,1.0,<0.1%,1505569,大道十年,,1,<0.1%,0.00,81.8万,35.8万
515,0.1%,<0.1,<0.1%,1487901,冰雪女王5：融冰之战,上映42天,15,<0.1%,0.00,81.8万,35.8万
515,0.6%,0.3,<0.1%,1399450,在那遥远的北方,上映27天,4,<0.1%,0.00,81.8万,35.8万
515,0.0%,0.1,<0.1%,1419063,村里那些事,上映27天,10,<0.1%,0.00,81.8万,35.8万
515,1.8%,1.0,<0.1%,1407233,新神榜：杨戬,,1,<0.1%,0.00,81.8万,35.8万
515,--,0.0,<0.1%,1452790,消失的她,,6,<0.1%,0.00,81.8万,35.8万
515,--,0.0,<0.1%,1211219,禁锢,,1,<0.1%,0,81.8万,35.8万
515,--,0.0,<0.1%,1459756,狗神,,1,<0.1%,0,81.8万,35.8万
515,--,0.0,<0.1%,1298450,蜘蛛侠：纵横宇宙,,11,<0.1%,0,81.8万,35.8万
515,--,0.0,<0.1%,1336423,青檀,上映55天,1,<0.1%,0,81.8万,35.8万
515,--,0.0,<0.1%,525889,孤注一掷,,1,<0.1%,0,81.8万,35.8万
515,--,0.0,<0.1%,1217023,唐人街探案3,,2,<0.1%,0,81.8万,35.8万
515,--,0.0,<0.1%,344990,唐人街探案2,,4,<0.1%,0,81.8万,35.8万
515,--,0.0,<0.1%,359377,罗小黑战记,,6,<0.1%,0,81.8万,35.8万
515,--,0.0,<0.1%,1320785,小行星猎人,,6,<0.1%,0,81.8万,35.8万
515,--,0.0,<0.1%,1495728,飞驰人生2,上映96天,3,<0.1%,0,81.8万,35.8万
515,--,0.0,<0.1%,1218273,误杀,,6,<0.1%,0,81.8万,35.8万
515,6.3%,0.0,<0.1%,1251242,功夫乒乓,上映17天,2,<0.1%,0,81.8万,35.8万
515,0.2%,0.0,<0.1%,1478238,半糖初恋,上映2天,6,<0.1%,0,81.8万,35.8万
515,--,0.0,<0.1%,1451499,被我弄丢的你,上映69天,1,<0.1%,0,81.8万,35.8万
515,--,0.0,<0.1%,1212593,亿计划,上映21天,2,<0.1%,0,81.8万,35.8万
515,--,0.0,<0.1%,1337941,雄狮少年,,1,<0.1%,0,81.8万,35.8万
515,--,0.0,<0.1%,308,窃听风云2,,2,<0.1%,0,81.8万,35.8万
