电影id,电影名称,出品国家,电影类别1,电影类别2,电影类别3,电影评分,男性占比,女性占比
1303089,我是哪吒2之英雄归来,"中国
",动画,喜剧,奇幻,,0.349 ,0.651 
1305439,战俘拳王,"波兰
",剧情,历史,运动,,0.545 ,0.455 
1308844,复合吧！前任,"中国
",爱情,喜剧,,,0.427 ,0.573 
1309779,猩球崛起：新世界,"美国
",动作,科幻,,8.3,0.498 ,0.502 
1309817,三贵情史,"中国
",剧情,爱情,奇幻,,0.285 ,0.715 
1309898,神兽魔王大作战,"中国
",动画,动作,奇幻,,0.324 ,0.676 
1309995,谁能背我飞行,"中国
",剧情,,,,0.538 ,0.462 
1310330,千里送鹤,"中国
",剧情,儿童,家庭,,0.310 ,0.690 
1310520,年少日记,"中国
",剧情,,,9.1,0.246 ,0.754 
1320785,小行星猎人,"美国
",纪录片,短片,,,0.408 ,0.592 
1321269,流水落花,"中国
",剧情,,,,0.315 ,0.685 
1322239,,,,,,,,
1323749,丛林大冒险,"德国
",动画,,,,0.171 ,0.829 
1324061,第一人称,"中国
",剧情,,,,0.298 ,0.702 
1324999,扫毒3：人在天涯,中国,动作,犯罪,剧情,8.8,0.503 ,0.497 
1325387,街娃儿,"中国
",剧情,,,,0.516 ,0.484 
1328836,出门在外,"中国
",喜剧,剧情,悬疑,,0.445 ,0.555 
1328895,花千骨,"中国
",奇幻,爱情,,,0.278 ,0.722 
1328933,婚前72小时,"中国
",剧情,喜剧,爱情,,0.378 ,0.622 
1329058,金玉满堂之一网不捞鱼,"中国
",剧情,,,,0.350 ,0.650 
1331905,金手指,中国,剧情,犯罪,,9.1,0.439 ,0.561 
1332789,末路囧徒,"中国
",剧情,喜剧,犯罪,,0.319 ,0.681 
1334237,彷徨之刃,"中国
",犯罪,剧情,,8.2,0.351 ,0.649 
1335394,八戒之天蓬下界,"中国
",神话,动画,,,0.378 ,0.622 
1335919,村长打工,"中国
",喜剧,,,,0.450 ,0.550 
1336423,青檀,"中国
",剧情,动作,,,0.480 ,0.520 
1336792,京门烽火,"中国
",剧情,,,,0.442 ,0.558 
1338498,一个和四个,"中国
",剧情,悬疑,犯罪,8.1,0.333 ,0.667 
1339006,妈妈和七天的时间,"中国
",剧情,,,,0.255 ,0.745 
1343888,逆境追凶,"中国
",剧情,犯罪,悬疑,,0.412 ,0.588 
1349961,青春就这么过,"中国
",青春,励志,,,0.468 ,0.532 
1350884,玉面.琴师（上）,"中国
",剧情,,,,0.353 ,0.647 
1351501,水让我重生,"中国
",纪录片,,,,0.352 ,0.648 
1351512,王牌二哈,"中国
",动画,动作,喜剧,,0.231 ,0.769 
1351563,河边的错误,"中国
",剧情,犯罪,,8.4,0.212 ,0.788 
1351757,爸爸，我懂你了,"中国
",剧情,,,,0.356 ,0.644 
1351778,爱在陇南,"中国
",剧情,,,,0.477 ,0.523 
1352371,雪域少年,"中国
",动画,,,,0.354 ,0.646 
1352380,水边维纳斯,"中国
",剧情,,,,0.385 ,0.615 
1352531,江米儿,"中国
",剧情,,,,0.335 ,0.665 
1352624,猎袭2,"中国
",警匪,悬疑,,,0.450 ,0.550 
1353027,萨瓦流淌的方向,中国,纪录片,,,,0.264 ,0.736 
1353679,海角1号,"中国
",剧情,,,,,
1353739,波依拉,"中国
",剧情,,,,0.380 ,0.620 
1353959,海门一号,"中国
",剧情,,,,0.411 ,0.589 
1354169,古城黎明,"中国
",剧情,,,,0.520 ,0.480 
1354970,青木劫,"中国
",惊悚,恐怖,,,0.381 ,0.619 
1355195,中华厨王之厨王之王,"中国
",剧情,家庭,,,0.472 ,0.528 
1355225,睿王与庄妃,"中国
",爱情,传记,历史,,0.344 ,0.656 
1355232,硬核老爸,"中国
",剧情,,,,0.329 ,0.671 
1355287,宝贝回家之玩命追击,"中国
",剧情,犯罪,,,0.325 ,0.675 
1355330,马背上的婚礼,"中国
",剧情,,,,0.450 ,0.550 
1355362,我们的七月,"中国
",纪录片,,,,0.423 ,0.577 
1355439,歌动地天,"中国
",革命,历史,,,,
1355445,马庄村,"中国
",剧情,喜剧,励志,,0.443 ,0.557 
1355509,消失的收藏家,"中国
",剧情,,,,0.428 ,0.572 
1355642,厨神驾到,"中国
",喜剧,爱情,,,0.470 ,0.530 
1355835,最初的你,"中国
",剧情,爱情,悬疑,,0.483 ,0.517 
1356011,再见土拨鼠,"中国
",剧情,儿童,,,0.222 ,0.778 
1356026,不要走散好不好,"中国
",爱情,青春,,,0.422 ,0.578 
1356108,回西藏,"中国
",剧情,,,,0.335 ,0.665 
1356583,飞天神鼠白玉堂,"中国
",动作,武侠,功夫,,0.439 ,0.561 
